individual_id,site,plot_id,latitude,longitude
2013,Cucu Mesa,Low,NA,NA
2305,Lisque,Ridge,NA,NA
2306,Lisque,Middle Earth,NA,NA
2308,Lisque,Middle Earth,NA,NA
2309,Lisque,Hobbiton,NA,NA
2313,Lisque,Ridge,NA,NA
2322,Lisque,Ridge,NA,NA
2330,Lisque,Hobbiton,NA,NA
2332,Lisque,Ridge,NA,NA
2333,Lisque,Ridge,NA,NA
2334,Lisque,Ridge,NA,NA
2335,Lisque,Middle Earth,NA,NA
2336,Lisque,Hobbiton,NA,NA
2337,Lisque,Hobbiton,NA,NA
2338,Lisque,Hobbiton,NA,NA
2339,Lisque,Hobbiton,NA,NA
2340,Lisque,Hobbiton,NA,NA
2341,Lisque,Hobbiton,NA,NA
2342,Lisque,Middle Earth,NA,NA
2344,Lisque,Hobbiton,NA,NA
2348,Lisque,Hobbiton,NA,NA
2349,Lisque,Hobbiton,NA,NA
2350,Lisque,Ridge,NA,NA
2351,Lisque,Ridge,NA,NA
2353,Lisque,Middle Earth,NA,NA
2355,Lisque,Middle Earth,NA,NA
2356,Lisque,Middle Earth,NA,NA
2357,Lisque,Middle Earth,NA,NA
2358,Lisque,Middle Earth,NA,NA
2359,Lisque,Middle Earth,NA,NA
2361,Lisque,Middle Earth,NA,NA
2362,Lisque,Middle Earth,NA,NA
2363,Lisque,Middle Earth,NA,NA
2364,Lisque,Middle Earth,NA,NA
2366,Lisque,Middle Earth,NA,NA
2372,Lisque,Weathertop,NA,NA
2372,Lisque,Hobbiton,NA,NA
2374,Lisque,Ridge,NA,NA
