site,plot,plot_number,species,date,pd_md,year,water_potential_mpa,notes,tree,month
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.31,NA,2009,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.23,NA,2009,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.25,NA,2009,4
Lisque,Ridge,NA,live oak,2024-04-12,pd,2024,0.25,NA,2301,4
Lisque,Ridge,NA,live oak,2024-04-12,pd,2024,0.1,NA,2301,4
Lisque,Ridge,NA,live oak,2024-04-12,pd,2024,0.23,NA,2301,4
Lisque,Ridge,NA,live oak,2024-04-12,pd,2024,0.32,NA,2301,4
Lisque,Ridge,NA,live oak,2024-04-12,pd,2024,0.3,NA,2301,4
Lisque,Ridge,NA,live oak,2024-04-12,pd,2024,0.4,NA,2301,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.15,NA,2331,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.21,NA,2331,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.25,NA,2331,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.15,NA,2331,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.25,NA,2331,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.33,NA,2331,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.3,NA,2343,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.31,NA,2343,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.29,NA,2343,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.08,NA,2345,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.19,NA,2345,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.16,NA,2345,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.25,NA,2345,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.25,NA,2345,4
Lisque,Hobbiton,NA,live oak,2024-04-12,pd,2024,0.21,NA,2345,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.3,NA,2346,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.36,NA,2346,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.36,NA,2346,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.32,NA,2347,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.33,NA,2347,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.4,NA,2370,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.3,NA,2370,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.45,NA,2370,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.27,NA,2371,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.45,NA,2371,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.26,NA,2371,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.37,NA,2372,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.35,NA,2372,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.39,NA,2372,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.41,NA,2372,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.18,NA,2375,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.28,NA,2375,4
Lisque,Hobbiton,NA,blue oak,2024-04-12,pd,2024,0.25,NA,2375,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.08,NA,2352,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.07,NA,2352,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.38,NA,2352,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.35,NA,2352,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.16,NA,2354,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.13,NA,2354,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.12,NA,2354,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.36,NA,2354,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.49,NA,2354,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.37,NA,2354,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.49,NA,2354,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.2,NA,2360,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.21,NA,2360,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.23,NA,2360,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.25,NA,2360,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.36,NA,2365,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.37,NA,2365,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.51,NA,2365,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.55,NA,2365,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.4,NA,2365,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.85,NA,2367,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.75,NA,2367,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.55,NA,2367,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.55,NA,2367,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.52,NA,2367,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.79,NA,2367,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.44,NA,2369,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.59,NA,2369,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.49,NA,2369,4
Lisque,Middle Earth,NA,blue oak,2024-04-12,pd,2024,0.73,NA,2369,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.23,NA,2376,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.08,NA,2376,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.09,NA,2376,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.22,NA,2376,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.31,NA,2376,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.45,NA,2376,4
Lisque,Middle Earth,NA,live oak,2024-04-12,pd,2024,0.3,NA,2376,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.08,NA,2377,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.1,NA,2377,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.08,NA,2377,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.2,NA,2377,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.25,NA,2377,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.28,NA,2377,4
Lisque,Rohan,NA,blue oak,2024-04-12,pd,2024,0.14,NA,2378,4
Lisque,Rohan,NA,blue oak,2024-04-12,pd,2024,0.15,NA,2378,4
Lisque,Rohan,NA,blue oak,2024-04-12,pd,2024,0.17,NA,2378,4
Lisque,Rohan,NA,blue oak,2024-04-12,pd,2024,0.15,NA,2378,4
Lisque,Rohan,NA,blue oak,2024-04-12,pd,2024,0.08,NA,2379,4
Lisque,Rohan,NA,blue oak,2024-04-12,pd,2024,0.18,NA,2379,4
Lisque,Rohan,NA,blue oak,2024-04-12,pd,2024,0.08,NA,2379,4
Lisque,Rohan,NA,blue oak,2024-04-12,pd,2024,0.11,NA,2379,4
Lisque,Rohan,NA,blue oak,2024-04-12,pd,2024,0.14,NA,2379,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.08,NA,2380,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.07,NA,2380,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.05,NA,2380,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.2,NA,2380,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.2,NA,2380,4
Lisque,Rohan,NA,live oak,2024-04-12,pd,2024,0.25,NA,2380,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.27,NA,2010,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.19,NA,2010,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.24,NA,2010,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.23,NA,2010,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.2,NA,2010,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.14,NA,2011,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.11,NA,2011,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.12,NA,2011,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.43,NA,2381,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.35,NA,2381,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.32,NA,2381,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.36,NA,2381,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.1,NA,2382,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.16,NA,2382,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.15,NA,2382,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.27,NA,2383,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.2,NA,2383,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.27,NA,2383,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.1,NA,2384,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.15,NA,2384,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.2,NA,2384,4
Lisque,Weathertop,NA,blue oak,2024-04-12,pd,2024,0.23,NA,2384,4
Cucu Mesa,Low,NA,blue oak,2024-04-12,pd,2024,0.5,NA,1478,4
Cucu Mesa,Low,NA,blue oak,2024-04-12,pd,2024,0.6,NA,1478,4
