"TOA5","CR1000XSeries_E","CR1000X","31220","CR1000X.Std.05.01","CPU:1000x_8sapflow_v1.CR1X","27956","Diagnostic_Data"
"TIMESTAMP","RECORD","Batt_volt","PTemp","Tmax_Outer_a","Tmax_Inner_a","uTmax_Outer_a","uTmax_Inner_a","Tmax_Outer_b","Tmax_Inner_b","uTmax_Outer_b","uTmax_Inner_b","Tmax_Outer_c","Tmax_Inner_c","uTmax_Outer_c","uTmax_Inner_c","Tmax_Outer_d","Tmax_Inner_d","uTmax_Outer_d","uTmax_Inner_d","Tmax_Outer_e","Tmax_Inner_e","uTmax_Outer_e","uTmax_Inner_e","Tmax_Outer_f","Tmax_Inner_f","uTmax_Outer_f","uTmax_Inner_f","Tmax_Outer_g","Tmax_Inner_g","uTmax_Outer_g","uTmax_Inner_g","Tmax_Outer_h","Tmax_Inner_h","uTmax_Outer_h","uTmax_Inner_h"
"TS","RN","","","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-07-10 14:30:00",0,13.21,28.88,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 14:45:00",1,16.88,31.94,57.256,62.782,51.007,40.112,47.249,39.441,39.905,28.012,"NAN","NAN","NAN","NAN",48.398,57.132,40.803,39.253,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 15:00:00",2,13.76,33.57,56.971,61.982,50.461,41.471,46.508,39.778,38.744,28.239,69.044,46.61,55.502,28.567,47.832,54.756,38.585,37.293,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 15:15:00",3,13.57,32.23,57.235,59.199,52.635,43.232,46.822,39.834,38.799,28.553,66.361,44.907,54.628,27.278,47.623,54.96,39.047,39.563,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 15:30:00",4,13.78,30.31,57.407,59.785,51.05,42.883,47.539,40.396,39.621,27.719,66.183,43.74,54.445,26.258,48.1,55.285,41.174,38.797,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 15:45:00",5,13.63,28.5,56.881,60.911,50.785,43.033,48.354,39.974,39.922,27.454,70.136,44.239,54.369,26.768,47.766,54.017,38.932,38.467,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 16:00:00",6,13.6,26.74,58.11,59.248,51.445,42.869,47.466,40.07,39.295,27.813,67.003,43.887,55.265,27.079,47.41,54.488,40.643,38.679,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 16:15:00",7,13.7,25.54,56.114,59.885,52.909,41.023,46.657,39.672,39.312,28.238,68.399,43.06,53.868,26.254,46.92,54.409,38.092,38.868,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 16:30:00",8,13.87,24.93,56.164,59.781,51.151,40.918,45.927,39.355,38.165,27.095,68.142,43.477,54.852,26.412,47.778,53.874,42.094,37.65,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 16:45:00",9,13.78,25.06,54.37,58.816,50.596,42.17,46.392,39.823,38.374,27.717,66.277,42.598,56.196,27.189,47.53,53.781,41.172,38.796,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 17:00:00",10,13.72,24.98,55.854,58.801,49.756,41.589,47.539,39.57,38.121,27.876,65.795,42.271,54.318,25.626,47.761,53.854,41.668,37.898,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 17:15:00",11,13.93,25.42,55.333,59.934,49.236,42.311,47.141,39.325,38.288,27.886,65.648,41.813,52.515,25.578,47.725,54.649,40.389,37.858,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 17:30:00",12,15.94,26.98,56.84,59.373,49.914,42.731,47.698,39.468,39.106,28.187,65.755,43.317,53.192,25.839,47.518,54.442,42.921,38.219,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 17:45:00",13,13.89,27.76,57.209,59.845,50.955,43.616,46.872,39.731,38.281,28.036,65.539,45.428,52.82,27.956,48.446,54.955,43.331,39.714,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 18:00:00",14,13.84,27.02,57.408,59.528,49.812,42.473,46.681,39.536,38.915,28.095,66.173,44.558,51.797,26.926,48.283,55.615,39.552,38.005,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 18:15:00",15,13.73,25.81,55.696,59.726,49.599,41.019,46.674,39.532,38.909,27.575,67.915,44.655,54.633,27.442,49.018,56.355,42.25,39.458,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 18:30:00",16,13.64,24.63,55.494,59.369,48.98,40.399,46.736,39.333,38.556,27.634,67.606,45.325,55.715,27.697,50.005,56.256,41.582,39.618,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 18:45:00",17,13.56,23.71,55.825,58.616,50.55,40.727,48.072,38.704,39.48,28.248,66.521,46.151,54.217,27.851,50.305,57.795,39.817,39.353,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 19:00:00",18,13.49,23.03,55.605,57.568,50.074,41.081,46.833,38.861,39.741,28.817,66.003,47.959,54.11,29.659,51.382,58.718,44.049,40.847,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 19:15:00",19,13.41,22.47,55.366,58.159,48.436,41.094,48.019,38.648,40.514,28.607,66.857,50.062,54.144,31.769,52.212,59.703,42.965,39.606,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 19:30:00",20,13.32,21.86,56.774,59.412,49.431,43.171,47.149,38.607,40.469,29.546,66.453,50.484,54.981,33.583,53.92,61.255,45.603,43.226,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 19:45:00",21,13.22,21.2,57.206,58.189,50.533,43.756,47.553,38.756,41.031,30.113,63.913,51.149,54.096,33.939,54.783,63.357,44.971,41.614,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 20:00:00",22,13.15,20.62,57.1,58.651,51.254,43.907,47.921,37.88,41.814,30.323,61.164,52.225,54.652,35.33,56.072,65.059,45.02,44.039,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 20:15:00",23,13.1,19.87,56.219,58.028,50.942,45.096,47.355,37.466,42.488,30.581,60.088,50.889,53.99,35.902,54.982,65.617,43.776,44.448,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
