"TOA5","CR1000XSeries_E","CR1000X","31220","CR1000X.Std.05.01","CPU:1000x_8sapflow_v1.CR1X","27956","Sap_Flow_Data"
"TIMESTAMP","RECORD","Batt_volt","PTemp","TotalSapFlow_a","SFD_Outer_a","SFD_Inner_a","Alpha_Outer_a","Alpha_Inner_a","Beta_Outer_a","Beta_Inner_a","Tmax_Outer_a","Tmax_Inner_a","TotalSapFlow_b","SFD_Outer_b","SFD_Inner_b","Alpha_Outer_b","Alpha_Inner_b","Beta_Outer_b","Beta_Inner_b","Tmax_Outer_b","Tmax_Inner_b","TotalSapFlow_c","SFD_Outer_c","SFD_Inner_c","Alpha_Outer_c","Alpha_Inner_c","Beta_Outer_c","Beta_Inner_c","Tmax_Outer_c","Tmax_Inner_c","TotalSapFlow_d","SFD_Outer_d","SFD_Inner_d","Alpha_Outer_d","Alpha_Inner_d","Beta_Outer_d","Beta_Inner_d","Tmax_Outer_d","Tmax_Inner_d","TotalSapFlow_e","SFD_Outer_e","SFD_Inner_e","Alpha_Outer_e","Alpha_Inner_e","Beta_Outer_e","Beta_Inner_e","Tmax_Outer_e","Tmax_Inner_e","TotalSapFlow_f","SFD_Outer_f","SFD_Inner_f","Alpha_Outer_f","Alpha_Inner_f","Beta_Outer_f","Beta_Inner_f","Tmax_Outer_f","Tmax_Inner_f","TotalSapFlow_g","SFD_Outer_g","SFD_Inner_g","Alpha_Outer_g","Alpha_Inner_g","Beta_Outer_g","Beta_Inner_g","Tmax_Outer_g","Tmax_Inner_g","TotalSapFlow_h","SFD_Outer_h","SFD_Inner_h","Alpha_Outer_h","Alpha_Inner_h","Beta_Outer_h","Beta_Inner_h","Tmax_Outer_h","Tmax_Inner_h"
"TS","RN","","","L/hr","cm/hr","cm/hr","","","","","secs","secs","L/hr","cm/hr","cm/hr","","","","","secs","secs","L/hr","cm/hr","cm/hr","","","","","secs","secs","L/hr","cm/hr","cm/hr","","","","","secs","secs","L/hr","cm/hr","cm/hr","","","","","secs","secs","L/hr","cm/hr","cm/hr","","","","","secs","secs","L/hr","cm/hr","cm/hr","","","","","secs","secs","L/hr","cm/hr","cm/hr","","","","","secs","secs"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-07-10 14:30:00",0,13.21,28.88,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 14:45:00",1,16.88,31.94,0.675,14.31,16.73,0.76006,0.88845,0.72361,0.74439,57.256,62.782,18.789,20.74,29.9,0.93157,1.34243,0.86113,0.98193,47.249,39.441,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",9.956,36.45,41.34,1.63703,1.85671,1.55727,1.65869,48.398,57.132,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 15:00:00",2,13.76,33.57,0.62,13.21,15.3,0.70227,0.81229,0.67125,0.68778,56.971,61.982,18.884,20.97,29.91,0.94193,1.34373,0.86413,0.98939,46.508,39.778,0.345,12.49,37.49,0.56092,1.68391,0.52773,1.48467,69.044,46.61,10.918,41.99,43.21,1.88602,1.94071,1.68814,1.68783,47.832,54.756,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 15:15:00",3,13.57,32.23,0.653,13.85,16.2,0.73567,0.86017,0.71133,0.76287,57.235,59.199,18.914,21.01,29.96,0.94335,1.34545,0.86586,0.98374,46.822,39.834,0.359,12.73,39.46,0.57182,1.77223,0.54242,1.60941,66.361,44.907,10.666,40.3,42.98,1.81011,1.93047,1.6344,1.69993,47.623,54.96,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 15:30:00",4,13.78,30.31,0.658,13.9,16.4,0.73859,0.87123,0.71499,0.76545,57.407,59.785,19.053,20.86,30.49,0.93667,1.36895,0.87069,0.99553,47.539,40.396,0.368,12.92,40.76,0.58041,1.83077,0.54653,1.63987,66.183,43.74,10.085,36.22,42.61,1.62656,1.91391,1.55975,1.69666,48.1,55.285,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 15:45:00",5,13.63,28.5,0.634,13.45,15.73,0.71433,0.83541,0.68863,0.73187,56.881,60.911,18.734,20.36,30.14,0.91383,1.35362,0.85473,0.98939,48.354,39.974,0.331,10.18,39.79,0.45741,1.78673,0.42451,1.64327,70.136,44.239,10.884,41.57,43.39,1.86646,1.94849,1.61631,1.71319,47.766,54.017,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 16:00:00",6,13.6,26.74,0.649,13.63,16.26,0.72361,0.86396,0.70443,0.76015,58.11,59.248,18.918,20.67,30.31,0.92871,1.36096,0.86163,0.98939,47.466,40.07,0.369,13.14,40.57,0.58993,1.82159,0.56031,1.63439,67.003,43.887,10.256,36.24,43.96,1.62723,1.97457,1.56251,1.72273,47.41,54.488,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 16:15:00",7,13.7,25.54,0.724,14.96,18.45,0.79461,0.97998,0.77069,0.85995,56.114,59.885,18.437,21.39,28.28,0.96046,1.38629,0.88129,1.00005,46.657,39.672,0.177,12.9,5.03,0.5792,1.85969,0.5497,1.70867,68.399,43.06,10.824,39.68,44.9,1.78191,2.01616,1.64187,1.75324,46.92,54.409,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
