Manufacturer's SN: 21110082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User's SN: 21110082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solar Charger V2,Solar Charger V2,Solar Charger V2,Solar Charger V2,Solar Charger V2,Solar Charger V2,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Digital,,,,,,,,,,
,Charge Status,Battery Voltage,Battery Charge Current,System Current (Average),Battery Temperature,Input Voltage,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,Digital,,,,,,,,,,
Date/Time,Raw,Volts (V),Amps (A),Amps (A),Celsius (°C),Volts (V),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Raw,,,,,,,,,,
25/11/21 18:20:11,Power down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/22 22:24:25,0,12.69,-0.004,0.009,28.8,0,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,17/02/22 22:32:57,Time updated,17/02/22 22:33:17,Power down,,,,,,,,,,,,,,,,,,
21/02/22 13:16:26,0,12.67,-0.004,0.02,28.8,0,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,21/02/22 13:18:48,Power down,,,,,,,,,,,,,,,,,,,,
21/02/22 13:21:40,0,12.67,-0.004,0.013,28.8,0,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-10046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/02/22 13:41:10,0,12.66,-0.004,0.015,28.8,0,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,21/02/22 13:59:08,Power down,21/02/22 14:00:44,Download initiated,,,,,,,,,,,,,,,,,,
21/02/22 14:01:39,0,12.65,-0.003,0.014,28.8,0,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,0,,,,,,,,,,
21/02/22 14:15:28,0,12.65,-0.004,0.012,28.8,0,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,0,21/02/22 14:22:39,Power down,3/3/2022 10:13,Time updated,,,,,,
3/3/2022 10:14,0,12.67,-0.003,0.009,28.8,0,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 10:29,0,12.66,-0.003,0.028,28.8,0,0.093,2.87,1.1,0.153,0.058,0.005,0.029,37.451,35.276,18.533,17.292,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 10:44,0,12.65,-0.004,0.029,28.8,4.73,0.247,2.63,1.84,0.118,0.083,0.069,0.054,45.04,38.308,16.764,16.079,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 10:58,0,12.65,-0.003,0.011,28.8,0,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 11:14,0,12.64,-0.004,0.046,28.8,0,0.269,2.79,2.09,0.126,0.094,0.088,0.065,50.467,39.179,15.763,15.391,0.21,2.71,-0.07,0.122,-0.004,0.085,-0.067,49.275,54.951,17.84,17.162,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 11:29,8,12.83,0.162,0.072,28.8,19.03,0.348,3.61,2.71,0.162,0.121,0.12,0.081,51.234,39.948,15.705,15.341,0.39,4.15,0.81,0.186,0.036,0.153,-0.057,50.81,47.404,17.481,16.9,0.128,0,1.17,0,0.053,0.06,0.049,46.11,43.538,19.3,17.573,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 11:44,8,13.04,0.168,0.062,28.8,17.46,0.304,3.12,2.39,0.14,0.108,0.101,0.071,49.812,39.505,15.663,15.326,0.43,4.47,1.01,0.201,0.045,0.162,-0.049,50.84,47.02,17.244,16.784,0.654,4.04,1.73,0.182,0.078,0.166,0.051,48.615,43.002,18.27,17.264,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 11:59,8,13.38,0.392,0.061,28.8,18.33,0.284,2.87,2.3,0.129,0.103,0.093,0.065,50.789,40.33,15.611,15.307,0.304,3.23,0.63,0.145,0.029,0.113,-0.059,51.008,47.185,16.973,16.639,0.613,3.3,2.14,0.148,0.096,0.14,0.064,50.676,43,17.625,16.937,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 12:14,1,14.42,0.909,0.063,28.8,20.7,0.288,2.87,2.38,0.129,0.107,0.095,0.07,51.712,40.425,15.699,15.358,0.262,2.76,0.59,0.124,0.026,0.1,-0.058,53.391,47.503,16.927,16.578,0.721,3.96,2.43,0.178,0.109,0.164,0.072,52.431,44.085,17.289,16.714,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 12:29,8,13.45,0.343,0.074,28.8,20.58,0.346,3.55,2.74,0.16,0.123,0.124,0.079,52.635,40.676,15.916,15.491,0.373,3.88,0.87,0.175,0.039,0.146,-0.046,53.133,47.916,17.084,16.653,0.742,4.06,2.52,0.182,0.113,0.173,0.075,51.75,44.384,17.093,16.569,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 12:44,8,13.59,0.525,0.073,28.8,22.13,0.327,3.28,2.68,0.148,0.12,0.12,0.086,52.306,41.024,16.181,15.679,0.32,3.39,0.68,0.153,0.031,0.127,-0.05,51.685,49.103,17.124,16.72,0.739,4.09,2.46,0.184,0.111,0.169,0.07,53.072,43.484,16.92,16.456,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 12:59,8,13.29,0.162,0.06,28.8,22.41,0.362,3.74,2.84,0.168,0.127,0.131,0.089,50.979,41.349,16.399,15.884,0.371,3.88,0.84,0.174,0.038,0.141,-0.048,52.823,48.433,17.091,16.748,0.689,3.63,2.49,0.163,0.112,0.155,0.071,55.028,44.362,16.83,16.362,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
3/3/2022 13:14,8,13.25,0.194,0.073,28.8,21.29,0.397,4.17,3.04,0.187,0.136,0.135,0.091,52.271,41.142,16.519,16.028,0.39,4.04,0.94,0.181,0.042,0.145,-0.046,52.876,47.968,17.069,16.76,0.764,4.22,2.55,0.189,0.114,0.177,0.076,53.108,44.349,16.79,16.339,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
