"TOA5","1","CR300","31189","CR300.Std.10.06","CPU:Implexx 08 Sap Flow Sensors Program v3 SW12.CR300","43341","Diagnostic_Data"
"TIMESTAMP","RECORD","Batt_volt","PTemp","Tmax_Outer_a","Tmax_Inner_a","uTmax_Outer_a","uTmax_Inner_a","Tmax_Outer_b","Tmax_Inner_b","uTmax_Outer_b","uTmax_Inner_b","Tmax_Outer_c","Tmax_Inner_c","uTmax_Outer_c","uTmax_Inner_c","Tmax_Outer_d","Tmax_Inner_d","uTmax_Outer_d","uTmax_Inner_d","Tmax_Outer_e","Tmax_Inner_e","uTmax_Outer_e","uTmax_Inner_e","Tmax_Outer_f","Tmax_Inner_f","uTmax_Outer_f","uTmax_Inner_f","Tmax_Outer_g","Tmax_Inner_g","uTmax_Outer_g","uTmax_Inner_g","Tmax_Outer_h","Tmax_Inner_h","uTmax_Outer_h","uTmax_Inner_h"
"TS","RN","","","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec","secs","secs","sec","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-07-18 15:00:00",0,12.71,40.35,51.313,48.728,39.425,42.009,54.871,58.633,42.193,38.327,61.535,57.146,46.766,32.668,48.644,39.623,45.449,42.664,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 15:15:00",1,12.71,41.13,50.288,47.703,38.811,40.826,54.514,58.121,41.989,37.814,59.155,52.599,41.086,31.69,47.047,40.088,44.263,40.655,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 15:30:00",2,12.71,40.51,49.726,46.726,37.988,41.4,53.839,59.506,41.421,37.967,54.186,54.239,42.469,32.66,47.191,39.099,45.645,41.059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 15:45:00",3,12.71,39.53,48.637,46.464,38.814,41.243,54.101,59.36,41.991,38.228,51.328,51.638,40.015,31.285,45.966,38.283,46.069,41.891,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 16:00:00",4,12.71,38.24,48.898,46.468,38.658,40.158,54.888,57.671,42.206,38.752,59.732,52.035,46.043,33.081,48.43,38.432,46.059,41.628,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 16:15:00",5,12.71,38.04,48.623,46.71,39.062,42.059,55.269,60.112,43.417,38.163,54.372,54.113,43.988,33.762,50.446,38.242,50.137,44.318,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 16:30:00",6,12.71,37.8,48.892,46.876,39.067,41.654,57.929,61.38,43.202,38.36,52.582,51.394,41.265,33.1,47.958,38.641,48.474,42.811,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 16:45:00",7,12.71,37.63,47.643,45.628,38.649,40.407,55.299,59.884,43.038,38.195,51.096,50.993,43.19,32.287,48.792,38.241,46.837,43.234,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 17:00:00",8,12.71,37.9,48.211,46.453,38.801,41.232,56.963,59.334,42.639,39.187,52.738,50.98,41.934,33.356,47.81,38.389,47.501,43.897,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 17:15:00",9,12.71,39.36,48.466,47.535,38.801,40.557,57.364,61.796,43.044,39.182,52.177,52.643,41.272,32.695,49.513,38.703,47.145,44.519,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 17:30:00",10,12.71,40.97,48.604,46.279,39.459,40.543,56.57,62.393,42.653,38.788,51.78,50.021,41.13,32.962,48.675,37.443,46.46,42.853,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 17:45:00",11,12.71,41.2,46.948,45.19,37.801,40.384,54.119,59.947,42.003,38.24,51.779,49.764,41.287,32.292,45.805,37.612,45.652,42.043,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 18:00:00",12,12.71,39.27,45.171,45.068,37.158,40.83,54.969,59.406,40.784,38.256,51.104,48.364,41.54,31.873,47.87,37.456,46.064,42.301,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 18:15:00",13,12.71,36.71,46.83,44.401,38.247,40.16,55.528,61.045,42.43,38.82,51.798,48.126,41.559,32.714,46.232,37.621,45.664,43.294,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 18:30:00",14,12.71,34.6,44.774,44.411,38.256,39.601,55.131,59.414,41.875,38.417,51.528,48.529,40.876,32.295,46.395,35.979,45.931,42.322,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 18:45:00",15,12.71,33.29,44.774,44.256,38.411,39.186,53.688,58.951,42.389,38.622,49.314,48.383,41.971,32.559,45.172,35.421,46.357,43.313,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 19:00:00",16,12.71,32.14,44.76,44.399,38.814,39.746,54.312,59.42,41.619,38.009,49.078,48.974,42.559,32.576,43.766,33.915,47.171,44.798,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 19:15:00",17,12.71,31.13,45.187,43.169,38.824,39.341,54.951,59.132,43.233,38.639,48.903,47.143,42.541,32.976,44.608,33.929,47.601,44.144,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 19:30:00",18,12.71,30.48,44.359,43.842,39.652,39.342,54.69,59.957,41.992,37.965,50.304,47.563,43.634,32.719,43.944,33.935,47.762,43.996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 19:45:00",19,12.71,29.6,43.944,44.255,39.236,39.599,54.588,57.788,42.872,37.864,48.905,46.888,43.216,33.545,44.348,33.774,48.011,44.4,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 20:00:00",20,12.71,29.1,44.522,43.849,39.09,39.194,53.753,57.365,41.883,38.013,49.482,47.308,42.133,33.39,43.793,33.527,48.439,44.568,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 20:15:00",21,12.71,28.29,43.956,43.593,38.834,39.197,52.89,56.659,42.671,37.82,47.285,45.94,41.747,33.413,43.791,33.781,46.113,44.565,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 20:30:00",22,12.7,27.4,43.118,43.583,38.671,39.343,52.653,57.765,41.86,38.399,49.345,46.343,42.824,32.989,44.205,33.366,48.024,44.411,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-18 20:45:00",23,12.7,26.61,44.526,43.025,39.093,39.352,53.714,56.501,42.408,37.814,49.761,47.172,42.154,32.993,44.361,34.351,49.831,46.22,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
