ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Today's date,Tree ID,Other - Tree ID,"If Tree ID marked as 'Other', please explain",Species,Other - Species,Leafout Tracking - Blue Oaks,Leafout Tracking - Live Oaks,Percent Brown,Mistletoe,Lichen Survey,How robust is the lichen on the tree? ,General phenology,Notes,Tree DBH (diameter at nail),General phenology,Acorn survey side 1,Acorn survey side 2,x,y
1,ba7fefa1-a249-4dcf-84a3-211de8cda8a4,3/9/2024 12:08:11 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:08:11 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:00:00 PM,2371,,,Blue Oak,,1,,,0,51-75% of branch surface a,Lichen biomass is similar to le,,,100.9,,,,-120.039529257411,34.6930678094245
2,b11082f8-ab5e-4432-a134-5aa03cd2a12b,3/9/2024 12:08:14 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:08:14 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 7:22:51 PM,2301,,,Live Oak,,,8,<5%,0,51-75% of branch surface a,Lichen contributes somewhat to,Leaves,,49,,,,-120.046357357474,34.6910857994623
3,20a82bbb-6d4c-4e94-b0e6-95cda490f957,3/9/2024 12:08:17 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:08:17 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:00:00 PM,2331,,,Live Oak,,,3,<5%,0,51-75% of branch surface a,Lichen contributes somewhat to,Flowers or flower buds,Leaf and flower buds?,35.8,,,,-120.0461624349,34.6909859389564
4,e7e5e7ae-8fcc-4c4f-8d0f-0c09fa3b5eab,3/9/2024 12:08:20 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:08:20 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 7:38:05 PM,2354,,,Live Oak,,,1,<5%,0,26-50% of branch surface area,Lichen contributes somewhat to,Leaves,,96.8,,,,-120.047635892705,34.690591412628
5,dada2285-81f3-4fce-9d8b-5a4bd883cb38,3/9/2024 12:08:22 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:08:22 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:00:00 PM,2352,,,Live Oak,,,3,<5%,0,10-25% of branch surface area,Lichen is wispy or mostly small,Flowers or flower buds,Leaf and flower buds?,54.223,,,,-120.047717122376,34.6905263006924
6,8fe29296-697d-44e2-bf8d-d812a3965e45,3/9/2024 12:08:30 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:08:30 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:00:00 PM,2377,,,Live Oak,,,2,,,10-25% of branch surface area,Lichen is wispy or mostly small,Leaves,"Leaves, breaking leaf buds, and also breaking flower buds, some expanding leavss",69.4,,,,-120.047755419189,34.690705983204
7,303be59e-fe0b-487d-a0e6-88c0886abef7,3/9/2024 12:08:44 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:08:44 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:00:00 PM,2378,,,Blue Oak,,2,,<5%,0,10-25% of branch surface area,Lichen is wispy or mostly small,Breaking leaf buds,,46,,,,-120.047951520341,34.6906945658916
8,02c5df58-96fc-43c8-9178-aa1f92450728,3/9/2024 12:08:59 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:08:59 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:06:20 PM,2379,,,Blue Oak,,3,,<5%,0,76-100% of branch survace area,Lichen biomass is similar to le,Leaves,,53.3,,,,-120.048022818664,34.6907522953157
9,eb5d2672-8e44-437e-8993-6a2bfde446bc,3/9/2024 12:09:01 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:09:01 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:00:00 PM,2380,,,Live Oak,,,3,<5%,0,10-25% of branch surface area,Lichen contributes somewhat to,Leaves,,91.1,,,,-120.048085979176,34.6909202929989
10,b4f68f94-5cac-497d-909b-a785b36dfd45,3/9/2024 12:09:03 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:09:03 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:18:13 PM,2010,,,Blue Oak,,1,,,1,51-75% of branch surface a,Lichen biomass is similar to le,,,70.2,,,,-120.048101741365,34.6900135680931
11,9a35e2fd-ed42-415b-ac17-fd236d1b79ac,3/9/2024 12:09:05 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:09:05 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:00:00 PM,2382,,,Blue Oak,,1,,,0,76-100% of branch survace area,Lichen biomass is similar to le,,,61.2,,,,-120.048017467589,34.6899087043801
12,26a6c572-d49a-47a3-9945-d02672ee0d36,3/9/2024 12:09:08 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:09:08 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:00:00 PM,2383,,,Blue Oak,,2,,,2,76-100% of branch survace area,Lichen biomass is similar to le,Leaves,,46.3,,,,-120.047638273291,34.6894019750404
13,8a969a5e-8cc6-4c97-a967-c7866502479a,3/9/2024 12:09:10 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:09:10 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 9:39:39 PM,1478,,,Blue Oak,,1,,,5,76-100% of branch survace area,Lichen biomass is similar to le,,,64.3,,,,-120.050139209999,34.6962868657238
14,91042414-07e5-496b-afd7-9a7d1c973e7b,3/9/2024 12:09:54 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:09:54 AM,mburnett@umail.ucsb.edu_ucsb,,2016,,,Blue Oak,,1,,,0,26-50% of branch surface area,Lichen contributes somewhat to,,Missing tag,96.7,,,,-120.050400317375,34.6965766002237
15,86970394-e156-49ed-8444-147608f366a8,3/9/2024 12:10:01 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:10:01 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 9:50:11 PM,2012,,,Blue Oak,,1,,,0,76-100% of branch survace area,Lichen biomass is similar to le,,,52.6,,,,-120.050501607536,34.6969761501912
16,d89f4606-0552-409b-acfa-e390cfdf00d1,3/9/2024 12:10:04 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:10:04 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 10:03:02 PM,2015,,,Blue Oak,,1,,,0,76-100% of branch survace area,Lichen biomass is similar to le,,,65.2,,,,-120.050907746243,34.697633152927
17,91ce3fbb-54bc-46fb-9405-9867d00e81b8,3/9/2024 12:10:06 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:10:06 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:00:00 PM,2004,,,Blue Oak,,1,,,0,51-75% of branch surface a,Lichen biomass is similar to le,,,29.1,,,,-120.049977254533,34.6974891213351
18,89894eb5-bd8f-44c5-a0e4-932f945448ce,3/9/2024 12:10:09 AM,mburnett@umail.ucsb.edu_ucsb,3/9/2024 12:10:09 AM,mburnett@umail.ucsb.edu_ucsb,3/8/2024 8:00:00 PM,2005,,,Blue Oak,,2,,<5%,0,76-100% of branch survace area,Lichen biomass is similar to le,Leaves,"Trunk 1=37.7cm, trunk 2=46.2cm",37.7,,,,-120.050217827328,34.6975697857555
