Site,Plot,plot.number,Species,Tag,Date,pd_md,year,water_potential_mpa,Notes,Flag
Chamise,Chamise,,Blue,2020,2024-09-05,pd,,2.977,,
Chamise,Chamise,,Blue,2020,2024-09-05,pd,,2.037,,
Chamise,Chamise,,Blue,2020,2024-09-05,pd,,2.387,,
Chamise,Chamise,,Blue,2020,2024-09-05,pd,,2.226,,
Chamise,Chamise,,Blue,2021,2024-09-05,pd,,2.168,,
Chamise,Chamise,,Blue,2021,2024-09-05,pd,,2.266,,
Chamise,Chamise,,Blue,2021,2024-09-05,pd,,1.4,,
Chamise,Chamise,,Blue,2021,2024-09-05,pd,,2.056,,
Chamise,Chamise,,Blue,2021,2024-09-05,pd,,2,,
Chamise,Chamise,,Live,2022,2024-09-05,pd,,1.374,,
Chamise,Chamise,,Live,2022,2024-09-05,pd,,1.421,,
Chamise,Chamise,,Live,2022,2024-09-05,pd,,1.254,,
Chamise,Chamise,,Live,2023,2024-09-05,pd,,1.35,,
Chamise,Chamise,,Live,2023,2024-09-05,pd,,1.85,,
Chamise,Chamise,,Live,2023,2024-09-05,pd,,1,,
Chamise,Chamise,,Blue,2024,2024-09-05,pd,,1.449,,
Chamise,Chamise,,Blue,2024,2024-09-05,pd,,1.548,,
Chamise,Chamise,,Blue,2024,2024-09-05,pd,,1.397,,
Chamise,Chamise,,Blue,2025,2024-09-05,pd,,2.65,,
Chamise,Chamise,,Blue,2025,2024-09-05,pd,,2.25,,
Chamise,Chamise,,Blue,2025,2024-09-05,pd,,2.32,,
Chamise,Chamise,,Blue,2025,2024-09-05,pd,,2.483,,
Chamise,Shedd,,Blue,2026,2024-09-05,pd,,1.497,,
Chamise,Shedd,,Blue,2026,2024-09-05,pd,,1.428,,
Chamise,Shedd,,Blue,2026,2024-09-05,pd,,1.523,,
Chamise,Shedd,,Blue,2027,2024-09-05,pd,,3.559,,
Chamise,Shedd,,Blue,2027,2024-09-05,pd,,3.301,,
Chamise,Shedd,,Blue,2027,2024-09-05,pd,,3.631,,
Chamise,Shedd,,Blue,2027,2024-09-05,pd,,3.136,,
Chamise,Shedd,,Blue,2027,2024-09-05,pd,,2.673,,
Chamise,Shedd,,Blue,2028,2024-09-05,pd,,2.142,,
Chamise,Shedd,,Blue,2028,2024-09-05,pd,,2.087,,
Chamise,Shedd,,Blue,2028,2024-09-05,pd,,1.687,,
Chamise,Shedd,,Blue,2028,2024-09-05,pd,,1.988,,
Chamise,Shedd,,Live,2029,2024-09-05,pd,,0.906,,
Chamise,Shedd,,Live,2029,2024-09-05,pd,,1.13,,
Chamise,Shedd,,Live,2029,2024-09-05,pd,,0.99,,
Chamise,Shedd,,Live,2029,2024-09-05,pd,,1.056,,
Chamise,Shedd,,Live,2030,2024-09-05,pd,,0.468,,
Chamise,Shedd,,Live,2030,2024-09-05,pd,,0.927,,
Chamise,Shedd,,Live,2030,2024-09-05,pd,,0.551,,
Chamise,Shedd,,Live,2030,2024-09-05,pd,,0.53,,
Chamise,Shedd,,Blue,2031,2024-09-05,pd,,1.3,,
Chamise,Shedd,,Blue,2031,2024-09-05,pd,,1.65,,
Chamise,Shedd,,Blue,2031,2024-09-05,pd,,1.95,,
Chamise,Shedd,,Blue,2031,2024-09-05,pd,,0.9,,
Chamise,Shedd,,Blue,2031,2024-09-05,pd,,0.875,,
Chamise,Shedd,,Blue,2031,2024-09-05,pd,,1.325,,
Cucu Mesa,High,,Blue,2004,2024-09-05,pd,,1.35,,
Cucu Mesa,High,,Blue,2004,2024-09-05,pd,,0.35,,
Cucu Mesa,High,,Blue,2004,2024-09-05,pd,,1.9,,
Cucu Mesa,High,,Blue,2004,2024-09-05,pd,,1.95,,
Cucu Mesa,High,,Blue,2004,2024-09-05,pd,,1.5,,
Cucu Mesa,High,,Blue,2005,2024-09-05,pd,,0.45,,
Cucu Mesa,High,,Blue,2005,2024-09-05,pd,,0.662,,
Cucu Mesa,High,,Blue,2005,2024-09-05,pd,,0.841,,
Cucu Mesa,High,,Blue,2005,2024-09-05,pd,,0.731,,
Cucu Mesa,High,,Blue,2005,2024-09-05,pd,,1.015,,
Cucu Mesa,High,,Blue,2006,2024-09-05,pd,,1.076,,
Cucu Mesa,High,,Blue,2006,2024-09-05,pd,,0.938,,
Cucu Mesa,High,,Blue,2006,2024-09-05,pd,,0.933,,
Cucu Mesa,High,,Blue,2006,2024-09-05,pd,,1.245,,
Cucu Mesa,High,,Blue,2007,2024-09-05,pd,,1.974,,
Cucu Mesa,High,,Blue,2007,2024-09-05,pd,,"1,421",,
Cucu Mesa,High,,Blue,2007,2024-09-05,pd,,2.027,,
Cucu Mesa,High,,Blue,2007,2024-09-05,pd,,1.506,,
Cucu Mesa,High,,Blue,2007,2024-09-05,pd,,1.616,,
Cucu Mesa,High,,ARCA,ART CuCu,2024-09-05,pd,,3.409,,
Cucu Mesa,High,,ARCA,ART CuCu,2024-09-05,pd,,3.849,,
Cucu Mesa,High,,ARCA,ART CuCu,2024-09-05,pd,,3.664,,
Cucu Mesa,High,,ARCA,ART CuCu,2024-09-05,pd,,3.793,,
Cucu Mesa,Low,,Blue,1478,2024-09-05,pd,,0.6,,
Cucu Mesa,Low,,Blue,1478,2024-09-05,pd,,0.525,,
Cucu Mesa,Low,,Blue,1478,2024-09-05,pd,,0.625,,
Cucu Mesa,Low,,Blue,2012,2024-09-05,pd,,1.099,,
Cucu Mesa,Low,,Blue,2012,2024-09-05,pd,,1.197,,
Cucu Mesa,Low,,Blue,2012,2024-09-05,pd,,1.032,,
Cucu Mesa,Low,,Blue,2012,2024-09-05,pd,,1.085,,
Cucu Mesa,Low,,Blue,2013,2024-09-05,pd,,0.953,,
Cucu Mesa,Low,,Blue,2013,2024-09-05,pd,,0.965,,
Cucu Mesa,Low,,Blue,2013,2024-09-05,pd,,1.156,,
Cucu Mesa,Low,,Blue,2013,2024-09-05,pd,,1.192,,
Cucu Mesa,Low,,Blue,2015,2024-09-05,pd,,1.15,,
Cucu Mesa,Low,,Blue,2015,2024-09-05,pd,,1.2,,
Cucu Mesa,Low,,Blue,2015,2024-09-05,pd,,1.25,,
Cucu Mesa,Low,,Blue,2016,2024-09-05,pd,,2.036,,BAD
Cucu Mesa,Low,,Blue,2016,2024-09-05,pd,,0.673,,Weird
Cucu Mesa,Low,,Blue,2016,2024-09-05,pd,,0.881,,Weird
Cucu Mesa,Low,,Blue,2016,2024-09-05,pd,,1.368,,
Cucu Mesa,Low,,Blue,2016,2024-09-05,pd,,1.23,,
Cucu Mesa,Low,,Blue,2016,2024-09-05,pd,,1.185,,
Lisque,Hobbiton,,Blue,2009,2024-09-05,pd,,0.931,,
Lisque,Hobbiton,,Blue,2009,2024-09-05,pd,,0.803,,
Lisque,Hobbiton,,Blue,2009,2024-09-05,pd,,0.842,,
Lisque,Hobbiton,,Blue,2009,2024-09-05,pd,,1.22,,
Lisque,Hobbiton,,Blue,2009,2024-09-05,pd,,0.957,,
Lisque,Hobbiton,,Live,2301,2024-09-05,pd,,0.909,,
Lisque,Hobbiton,,Live,2301,2024-09-05,pd,,0.952,,
Lisque,Hobbiton,,Live,2301,2024-09-05,pd,,1.024,,
Lisque,Hobbiton,,Live,2301,2024-09-05,pd,,1.293,,
Lisque,Hobbiton,,Live,2331,2024-09-05,pd,,0.802,,
Lisque,Hobbiton,,Live,2331,2024-09-05,pd,,0.89,,
Lisque,Hobbiton,,Live,2331,2024-09-05,pd,,0.936,,
Lisque,Hobbiton,,Live,2331,2024-09-05,pd,,1.8,,
Lisque,Hobbiton,,Blue,2343,2024-09-05,pd,,1.275,,
Lisque,Hobbiton,,Blue,2343,2024-09-05,pd,,1.45,,
Lisque,Hobbiton,,Blue,2343,2024-09-05,pd,,0.7,,
Lisque,Hobbiton,,Blue,2343,2024-09-05,pd,,0.945,,
Lisque,Hobbiton,,Live,2345,2024-09-05,pd,,0.85,,
Lisque,Hobbiton,,Live,2345,2024-09-05,pd,,0.6,,
Lisque,Hobbiton,,Live,2345,2024-09-05,pd,,0.5,,
Lisque,Hobbiton,,Live,2345,2024-09-05,pd,,0.325,,
Lisque,Hobbiton,,Live,2345,2024-09-05,pd,,0.45,,
Lisque,Hobbiton,,Blue,2346,2024-09-05,pd,,0.432,,
Lisque,Hobbiton,,Blue,2346,2024-09-05,pd,,0.498,,
Lisque,Hobbiton,,Blue,2346,2024-09-05,pd,,0.408,,
Lisque,Hobbiton,,Blue,2347,2024-09-05,pd,,0.984,,
Lisque,Hobbiton,,Blue,2347,2024-09-05,pd,,0.738,,
Lisque,Hobbiton,,Blue,2347,2024-09-05,pd,,0.878,,
Lisque,Hobbiton,,Blue,2370,2024-09-05,pd,,0.588,,
Lisque,Hobbiton,,Blue,2370,2024-09-05,pd,,0.877,,
Lisque,Hobbiton,,Blue,2370,2024-09-05,pd,,1.066,,
Lisque,Hobbiton,,Blue,2370,2024-09-05,pd,,0.874,,
Lisque,Hobbiton,,Blue,2370,2024-09-05,pd,,0.885,,
Lisque,Hobbiton,,Blue,2371,2024-09-05,pd,,0.832,,
Lisque,Hobbiton,,Blue,2371,2024-09-05,pd,,0.792,,
Lisque,Hobbiton,,Blue,2371,2024-09-05,pd,,1.032,,
Lisque,Hobbiton,,Blue,2371,2024-09-05,pd,,0.976,,
Lisque,Hobbiton,,Blue,2372,2024-09-05,pd,,1.287,,
Lisque,Hobbiton,,Blue,2372,2024-09-05,pd,,1.577,,
Lisque,Hobbiton,,Blue,2372,2024-09-05,pd,,1.542,,
Lisque,Hobbiton,,Blue,2375,2024-09-05,pd,,0.871,,
Lisque,Hobbiton,,Blue,2375,2024-09-05,pd,,0.606,,
Lisque,Hobbiton,,Blue,2375,2024-09-05,pd,,0.84,,
Lisque,Hobbiton,,Blue,2375,2024-09-05,pd,,0.719,,
Lisque,Middle Earth,,Live,2352,2024-09-05,pd,,0.704,,
Lisque,Middle Earth,,Live,2352,2024-09-05,pd,,0.713,,
Lisque,Middle Earth,,Live,2352,2024-09-05,pd,,0.644,,
Lisque,Middle Earth,,Live,2354,2024-09-05,pd,,0.794,,
Lisque,Middle Earth,,Live,2354,2024-09-05,pd,,0.909,,
Lisque,Middle Earth,,Live,2354,2024-09-05,pd,,0.64,,
Lisque,Middle Earth,,Live,2354,2024-09-05,pd,,0.722,,
Lisque,Middle Earth,,Blue,2360,2024-09-05,pd,,1.431,,
Lisque,Middle Earth,,Blue,2360,2024-09-05,pd,,1.683,,
Lisque,Middle Earth,,Blue,2360,2024-09-05,pd,,1.589,,
Lisque,Middle Earth,,Blue,2367,2024-09-05,pd,,1.32,,
Lisque,Middle Earth,,Blue,2367,2024-09-05,pd,,1.367,,
Lisque,Middle Earth,,Blue,2367,2024-09-05,pd,,"1,467",,
Lisque,Middle Earth,,Blue,2367,2024-09-05,pd,,2,,
Lisque,Middle Earth,,Blue,2367,2024-09-05,pd,,2,,
Lisque,Middle Earth,,Blue,2369,2024-09-05,pd,,1.3,,
Lisque,Middle Earth,,Blue,2369,2024-09-05,pd,,1.6,,
Lisque,Middle Earth,,Blue,2369,2024-09-05,pd,,1.55,,
Lisque,Middle Earth,,Blue,2369,2024-09-05,pd,,1.794,,
Lisque,Middle Earth,,Blue,2369,2024-09-05,pd,,1.886,,
Lisque,Middle Earth,,Live,2376,2024-09-05,pd,,0.547,,
Lisque,Middle Earth,,Live,2376,2024-09-05,pd,,0.764,,
Lisque,Middle Earth,,Live,2376,2024-09-05,pd,,0.752,,
Lisque,Middle Earth,,Live,2376,2024-09-05,pd,,0.779,,
Lisque,Rohan,,Live,2377,2024-09-05,pd,,1.75,,
Lisque,Rohan,,Live,2377,2024-09-05,pd,,1.65,,
Lisque,Rohan,,Live,2377,2024-09-05,pd,,2.2,,Weird
Lisque,Rohan,,Live,2377,2024-09-05,pd,,1.65,,
Lisque,Rohan,,Blue,2378,2024-09-05,pd,,0.87,,
Lisque,Rohan,,Blue,2378,2024-09-05,pd,,0.712,,
Lisque,Rohan,,Blue,2378,2024-09-05,pd,,0.703,,
Lisque,Rohan,,Blue,2379,2024-09-05,pd,,0.7,,
Lisque,Rohan,,Blue,2379,2024-09-05,pd,,0.972,,
Lisque,Rohan,,Blue,2379,2024-09-05,pd,,0.93,,
Lisque,Rohan,,Blue,2379,2024-09-05,pd,,1.337,,
Lisque,Rohan,,Blue,2379,2024-09-05,pd,,1.167,,
Lisque,Rohan,,Live,2380,2024-09-05,pd,,0.387,,
Lisque,Rohan,,Live,2380,2024-09-05,pd,,0.448,,
Lisque,Rohan,,Live,2380,2024-09-05,pd,,0.317,,
Lisque,Weathertop,,Blue,2010,2024-09-05,pd,,2.589,,
Lisque,Weathertop,,Blue,2010,2024-09-05,pd,,1.783,,
Lisque,Weathertop,,Blue,2010,2024-09-05,pd,,2.105,,
Lisque,Weathertop,,Blue,2010,2024-09-05,pd,,2.482,,
Lisque,Weathertop,,Blue,2010,2024-09-05,pd,,2.291,,
Lisque,Weathertop,,Blue,2011,2024-09-05,pd,,1.6,,
Lisque,Weathertop,,Blue,2011,2024-09-05,pd,,1.85,,
Lisque,Weathertop,,Blue,2011,2024-09-05,pd,,2,,
Lisque,Weathertop,,Blue,2011,2024-09-05,pd,,2.4,,
Lisque,Weathertop,,Blue,2011,2024-09-05,pd,,1.55,,
Lisque,Weathertop,,Blue,2381,2024-09-05,pd,,2.133,,
Lisque,Weathertop,,Blue,2381,2024-09-05,pd,,1.555,,
Lisque,Weathertop,,Blue,2381,2024-09-05,pd,,2.068,,
Lisque,Weathertop,,Blue,2381,2024-09-05,pd,,2.303,,
Lisque,Weathertop,,Blue,2382,2024-09-05,pd,,2.093,,
Lisque,Weathertop,,Blue,2382,2024-09-05,pd,,2.075,,
Lisque,Weathertop,,Blue,2382,2024-09-05,pd,,2.045,,
Lisque,Weathertop,,Blue,2383,2024-09-05,pd,,2.23,,
Lisque,Weathertop,,Blue,2383,2024-09-05,pd,,2.097,,
Lisque,Weathertop,,Blue,2383,2024-09-05,pd,,"1,903",,
Lisque,Weathertop,,Blue,2384,2024-09-05,pd,,2.097,,
