Site,Plot,plot.number,Species,Tag,Date,pd_md,year,water_potential_mpa,Notes,Flag
Lisque,Hobbiton,,Blue,2009,2024-04-12,pd,0,0.31,,branchlet
Lisque,Hobbiton,,Blue,2009,2024-04-12,pd,0,0.23,,branchlet
Lisque,Hobbiton,,Blue,2009,2024-04-12,pd,0,0.25,,branchlet
Lisque,Hobbiton,,Live,2301,2024-04-12,pd,1,0.25,,
Lisque,Hobbiton,,Live,2301,2024-04-12,pd,1,0.1,,
Lisque,Hobbiton,,Live,2301,2024-04-12,pd,0,0.23,,branchlet
Lisque,Hobbiton,,Live,2301,2024-04-12,pd,0,0.32,,branchlet
Lisque,Hobbiton,,Live,2301,2024-04-12,pd,0,0.3,,branchlet
Lisque,Hobbiton,,Live,2301,2024-04-12,pd,0,0.4,,branchlet
Lisque,Hobbiton,,Live,2331,2024-04-12,pd,1,0.15,,
Lisque,Hobbiton,,Live,2331,2024-04-12,pd,1,0.21,,
Lisque,Hobbiton,,Live,2331,2024-04-12,pd,1,0.25,,
Lisque,Hobbiton,,Live,2331,2024-04-12,pd,0,0.15,,branchlet
Lisque,Hobbiton,,Live,2331,2024-04-12,pd,0,0.25,,branchlet
Lisque,Hobbiton,,Live,2331,2024-04-12,pd,0,0.33,,branchlet
Lisque,Hobbiton,,Blue,2343,2024-04-12,pd,0,0.3,,branchlet
Lisque,Hobbiton,,Blue,2343,2024-04-12,pd,0,0.31,,branchlet
Lisque,Hobbiton,,Blue,2343,2024-04-12,pd,0,0.29,,branchlet
Lisque,Hobbiton,,Live,2345,2024-04-12,pd,1,0.08,,
Lisque,Hobbiton,,Live,2345,2024-04-12,pd,1,0.19,,
Lisque,Hobbiton,,Live,2345,2024-04-12,pd,0,0.16,,branchlet
Lisque,Hobbiton,,Live,2345,2024-04-12,pd,0,0.25,,branchlet
Lisque,Hobbiton,,Live,2345,2024-04-12,pd,0,0.25,,branchlet
Lisque,Hobbiton,,Live,2345,2024-04-12,pd,0,0.21,,branchlet
Lisque,Hobbiton,,Blue,2346,2024-04-12,pd,0,0.3,,branchlet
Lisque,Hobbiton,,Blue,2346,2024-04-12,pd,0,0.36,,branchlet
Lisque,Hobbiton,,Blue,2346,2024-04-12,pd,0,0.36,,branchlet
Lisque,Hobbiton,,Blue,2347,2024-04-12,pd,0,0.32,,branchlet
Lisque,Hobbiton,,Blue,2347,2024-04-12,pd,0,0.33,,branchlet
Lisque,Hobbiton,,Blue,2370,2024-04-12,pd,0,0.4,,branchlet
Lisque,Hobbiton,,Blue,2370,2024-04-12,pd,0,0.3,,branchlet
Lisque,Hobbiton,,Blue,2370,2024-04-12,pd,0,0.45,,branchlet
Lisque,Hobbiton,,Blue,2371,2024-04-12,pd,0,0.27,,branchlet
Lisque,Hobbiton,,Blue,2371,2024-04-12,pd,0,0.45,,branchlet
Lisque,Hobbiton,,Blue,2371,2024-04-12,pd,0,0.26,,branchlet
Lisque,Hobbiton,,Blue,2372,2024-04-12,pd,0,0.37,,branchlet
Lisque,Hobbiton,,Blue,2372,2024-04-12,pd,0,0.35,,branchlet
Lisque,Hobbiton,,Blue,2372,2024-04-12,pd,0,0.39,,branchlet
Lisque,Hobbiton,,Blue,2372,2024-04-12,pd,0,0.41,,branchlet
Lisque,Hobbiton,,Blue,2375,2024-04-12,pd,0,0.18,,branchlet
Lisque,Hobbiton,,Blue,2375,2024-04-12,pd,0,0.28,,branchlet
Lisque,Hobbiton,,Blue,2375,2024-04-12,pd,0,0.25,,branchlet
Lisque,Middle Earth,,Live,2352,2024-04-12,pd,1,0.08,,
Lisque,Middle Earth,,Live,2352,2024-04-12,pd,1,0.07,,
Lisque,Middle Earth,,Live,2352,2024-04-12,pd,0,0.38,,branchlet
Lisque,Middle Earth,,Live,2352,2024-04-12,pd,0,0.35,,branchlet
Lisque,Middle Earth,,Live,2354,2024-04-12,pd,1,0.16,,
Lisque,Middle Earth,,Live,2354,2024-04-12,pd,1,0.13,,
Lisque,Middle Earth,,Live,2354,2024-04-12,pd,1,0.12,,
Lisque,Middle Earth,,Live,2354,2024-04-12,pd,0,0.36,,branchlet
Lisque,Middle Earth,,Live,2354,2024-04-12,pd,0,0.49,,branchlet
Lisque,Middle Earth,,Live,2354,2024-04-12,pd,0,0.37,,branchlet
Lisque,Middle Earth,,Live,2354,2024-04-12,pd,0,0.49,,branchlet
Lisque,Middle Earth,,Blue,2360,2024-04-12,pd,0,0.2,,branchlet
Lisque,Middle Earth,,Blue,2360,2024-04-12,pd,0,0.21,,branchlet
Lisque,Middle Earth,,Blue,2360,2024-04-12,pd,0,0.23,,branchlet
Lisque,Middle Earth,,Blue,2360,2024-04-12,pd,0,0.25,,branchlet
Lisque,Middle Earth,,Blue,2365,2024-04-12,pd,0,0.36,,branchlet
Lisque,Middle Earth,,Blue,2365,2024-04-12,pd,0,0.37,,branchlet
Lisque,Middle Earth,,Blue,2365,2024-04-12,pd,0,0.51,,branchlet
Lisque,Middle Earth,,Blue,2365,2024-04-12,pd,0,0.55,,branchlet
Lisque,Middle Earth,,Blue,2365,2024-04-12,pd,0,0.4,,branchlet
Lisque,Middle Earth,,Blue,2367,2024-04-12,pd,0,0.85,,branchlet
Lisque,Middle Earth,,Blue,2367,2024-04-12,pd,0,0.75,,branchlet
Lisque,Middle Earth,,Blue,2367,2024-04-12,pd,0,0.55,,branchlet
Lisque,Middle Earth,,Blue,2367,2024-04-12,pd,0,0.55,,branchlet
Lisque,Middle Earth,,Blue,2367,2024-04-12,pd,0,0.52,,branchlet
Lisque,Middle Earth,,Blue,2367,2024-04-12,pd,0,0.79,,branchlet
Lisque,Middle Earth,,Blue,2369,2024-04-12,pd,0,0.44,,branchlet
Lisque,Middle Earth,,Blue,2369,2024-04-12,pd,0,0.59,,branchlet
Lisque,Middle Earth,,Blue,2369,2024-04-12,pd,0,0.49,,branchlet
Lisque,Middle Earth,,Blue,2369,2024-04-12,pd,0,0.73,,branchlet
Lisque,Middle Earth,,Live,2376,2024-04-12,pd,1,0.23,,
Lisque,Middle Earth,,Live,2376,2024-04-12,pd,1,0.08,,
Lisque,Middle Earth,,Live,2376,2024-04-12,pd,1,0.09,,
Lisque,Middle Earth,,Live,2376,2024-04-12,pd,0,0.22,,branchlet
Lisque,Middle Earth,,Live,2376,2024-04-12,pd,0,0.31,,branchlet
Lisque,Middle Earth,,Live,2376,2024-04-12,pd,0,0.45,,branchlet
Lisque,Middle Earth,,Live,2376,2024-04-12,pd,0,0.3,,branchlet
Lisque,Rohan,,Live,2377,2024-04-12,pd,1,0.08,,
Lisque,Rohan,,Live,2377,2024-04-12,pd,1,0.1,,
Lisque,Rohan,,Live,2377,2024-04-12,pd,1,0.08,,
Lisque,Rohan,,Live,2377,2024-04-12,pd,0,0.2,,branchlet
Lisque,Rohan,,Live,2377,2024-04-12,pd,0,0.25,,branchlet
Lisque,Rohan,,Live,2377,2024-04-12,pd,0,0.28,,branchlet
Lisque,Rohan,,Blue,2378,2024-04-12,pd,0,0.14,,branchlet
Lisque,Rohan,,Blue,2378,2024-04-12,pd,0,0.15,,branchlet
Lisque,Rohan,,Blue,2378,2024-04-12,pd,0,0.17,,branchlet
Lisque,Rohan,,Blue,2378,2024-04-12,pd,0,0.15,,branchlet
Lisque,Rohan,,Blue,2379,2024-04-12,pd,0,0.08,,branchlet
Lisque,Rohan,,Blue,2379,2024-04-12,pd,0,0.18,,branchlet
Lisque,Rohan,,Blue,2379,2024-04-12,pd,0,0.08,,branchlet
Lisque,Rohan,,Blue,2379,2024-04-12,pd,0,0.11,,branchlet
Lisque,Rohan,,Blue,2379,2024-04-12,pd,0,0.14,,branchlet
Lisque,Rohan,,Live,2380,2024-04-12,pd,1,0.08,,
Lisque,Rohan,,Live,2380,2024-04-12,pd,1,0.07,,
Lisque,Rohan,,Live,2380,2024-04-12,pd,1,0.05,,
Lisque,Rohan,,Live,2380,2024-04-12,pd,0,0.2,,branchlet
Lisque,Rohan,,Live,2380,2024-04-12,pd,0,0.2,,branchlet
Lisque,Rohan,,Live,2380,2024-04-12,pd,0,0.25,,branchlet
Lisque,Rohan,,ARCA,ART LL,2024-04-12,pd,0,0.35,,branchlet
Lisque,Rohan,,ARCA,ART LL,2024-04-12,pd,0,0.27,,branchlet
Lisque,Rohan,,ARCA,ART LL,2024-04-12,pd,0,0.4,,branchlet
Lisque,Rohan,,ARCA,ART LL,2024-04-12,pd,0,0.35,,branchlet
Lisque,Rohan,,SALE,LEU LL,2024-04-12,pd,0,0.15,,branchlet
Lisque,Rohan,,SALE,LEU LL,2024-04-12,pd,0,0.2,,branchlet
Lisque,Rohan,,SALE,LEU LL,2024-04-12,pd,0,0.16,,branchlet
Lisque,Weathertop,,Blue,2010,2024-04-12,pd,0,0.27,,branchlet
Lisque,Weathertop,,Blue,2010,2024-04-12,pd,0,0.19,,branchlet
Lisque,Weathertop,,Blue,2010,2024-04-12,pd,0,0.24,,branchlet
Lisque,Weathertop,,Blue,2010,2024-04-12,pd,0,0.23,,branchlet
Lisque,Weathertop,,Blue,2010,2024-04-12,pd,0,0.2,,branchlet
Lisque,Weathertop,,Blue,2011,2024-04-12,pd,0,0.14,,branchlet
Lisque,Weathertop,,Blue,2011,2024-04-12,pd,0,0.11,,branchlet
Lisque,Weathertop,,Blue,2011,2024-04-12,pd,0,0.12,,branchlet
Lisque,Weathertop,,Blue,2381,2024-04-12,pd,0,0.43,,branchlet
Lisque,Weathertop,,Blue,2381,2024-04-12,pd,0,0.35,,branchlet
Lisque,Weathertop,,Blue,2381,2024-04-12,pd,0,0.32,,branchlet
Lisque,Weathertop,,Blue,2381,2024-04-12,pd,0,0.36,,branchlet
Lisque,Weathertop,,Blue,2382,2024-04-12,pd,0,0.1,,branchlet
Lisque,Weathertop,,Blue,2382,2024-04-12,pd,0,0.16,,branchlet
Lisque,Weathertop,,Blue,2382,2024-04-12,pd,0,0.15,,branchlet
Lisque,Weathertop,,Blue,2383,2024-04-12,pd,0,0.27,,branchlet
Lisque,Weathertop,,Blue,2383,2024-04-12,pd,0,0.2,,branchlet
Lisque,Weathertop,,Blue,2383,2024-04-12,pd,0,0.27,,branchlet
Lisque,Weathertop,,Blue,2384,2024-04-12,pd,0,0.1,,branchlet
Lisque,Weathertop,,Blue,2384,2024-04-12,pd,0,0.15,,branchlet
Lisque,Weathertop,,Blue,2384,2024-04-12,pd,0,0.2,,branchlet
Lisque,Weathertop,,Blue,2384,2024-04-12,pd,0,0.23,,branchlet
Cucu Mesa,Low,,Blue,1478,2024-04-12,pd,0,0.5,,branchlet
Cucu Mesa,Low,,Blue,1478,2024-04-12,pd,0,0.6,,branchlet
Cucu Mesa,High,,Blue,2004,2024-04-12,pd,0,0.4,,branchlet
Cucu Mesa,High,,Blue,2004,2024-04-12,pd,0,0.42,,branchlet
Cucu Mesa,High,,Blue,2004,2024-04-12,pd,0,0.45,,branchlet
Cucu Mesa,High,,Blue,2005,2024-04-12,pd,0,0.35,,branchlet
Cucu Mesa,High,,Blue,2005,2024-04-12,pd,0,0.3,,branchlet
