Collection Data,Operator,Tred ID,1,2,3,4,5,6,7,notes
7/15/25,Brooke,2091,2,1.98,1.97,,,,,
7/15/25,Brooke,2301,2.68,3.48,3,3.35,,,,
7/15/25,Brooke,2331,2.83,3.19,3.19,,,,,
7/15/25,Brooke,2378,3.99,4.29,4,,,,,
7/15/25,schuyler,2005,3.5,4,3.4,3.25,,,,
7/15/25,Schuyler,2015,3.35,3.35,3.9,,,,,
7/15/25,schuyler,2016,2,3.45,2.7,3.3,4,2.6,,
7/15/25,schuyler,2085,3.6,3.55,3.7,,,,,
7/15/25,schuyler,2086,2.9,2.85,3.1,,,,,
7/15/25,Schuyler,2090,3.5,3.4,3.05,3.3,,,,
7/15/25,Schuyler,2365,2.85,3.95,3.75,,,,,
7/15/25,schuyler,2367,3.95,3.85,4.2,,,,,
7/15/25,schuyler,2369,4.5,4.5,4.5,,,,,
7/15/25,Schuyler,2370,2.92,3.96,3.63,3.55,,,,
7/15/25,schuyler,2377,3.3,3.2,3,,,,,
7/15/25,schuyler,2384,5.3,4.5,5.9,4.85,5.2,,,
7/15/25,Schuyler,4805,2.5,3,3.15,,,,,
7/15/25,Sebastian,2007,3.64,3.77,3.52,,,,,
7/15/25,Sebastian,2010,3.72,3.71,4.21,3.87,,,,
7/15/25,sebastian,2011,4.16,4.14,4.08,,,,,
7/15/25,Sebastian,2012,3.81,3.76,4.15,,,,,
7/15/25,Sebastian,2093,3.03,3.3,2.7,2.98,,,,
7/15/25,sebastian,2352,2.91,2.67,3.6,3.49,2.8,,,
7/15/25,sebastian,2354,3.73,3.57,2.3,2.86,2.22,3.4,2.47,
7/15/25,sebastian,2382,4.51,4.42,4.41,,,,,
7/15/25,sebastian,ARCA-LL,5,5.01,4.86,,,,,
7/15/25,Shane,2004,4.08,3.63,3.98,,,,,
7/15/25,Shane,2006,3.14,3.24,2.13,3.34,,,,
7/15/25,shane,2013,3.81,4.1,3.88,,,,,
7/15/25,Shane,2088,2.6,2.96,3.38,3.14,2.6,,,
7/15/25,Shane,2089,2.89,2.41,3.07,,,,,
7/15/25,shane,2092,2.36,2.2,2.74,,,,,
7/15/25,shane,2343,3.27,3.5,3.3,,,,,
7/15/25,shane,2345,2.54,2.7,1.51,1.41,,,,
7/15/25,shane,2346,3.66,4.06,3.97,,,,,
7/15/25,shane,2347,3.13,2.7,2.91,,,,,
7/15/25,Shane,2371,2.87,3.41,3.45,3.31,,,,
7/15/25,Shane,2372,3.18,3.8,3.56,3.41,,,,
7/15/25,shane,2375,2.47,2.59,2.29,,,,,
7/15/25,shane,2376,2.79,2.2,2.71,2.3,,,,
7/15/25,shane,2379,3.74,3.94,3.8,,,,,
7/15/25,shane,2381,4.1,3.43,3.44,3.74,,,,
7/15/25,shane,ARCA-CC,4.7,5.7,5,5.3,,,,
7/15/25,,2014,2.36,3.32,3.29,2.53,2.91,,,
7/15/25,,SALE_LL,2.13,2.15,2.17,,,,,
7/15/25,,2025,3.1,3.61,3.56,,,,,
7/15/25,,2027,3.4,3.4,,,,,,
7/15/25,,2018,2.66,2.91,4.5,4.07,3.14,3.35,,
7/15/25,,2087,2.6,2.65,2.4,,,,,
7/15/25,,2026,3.07,3.81,4.07,3.08,3.66,,,
7/15/25,,2030,2.7,2.85,2.9,,,,,
7/15/25,,2028,3.9,4.14,4.61,3.64,,,,
7/15/25,,1478,3.26,3.31,3.68,,,,,
7/15/25,,2023,3.5,4,2.3,3.2,3.1,,,
7/15/25,,2029,3.56,3.5,3.34,,,,,
7/15/25,,2024,3.39,3.56,3.6,,,,,
7/15/25,,2022,3.98,4.19,4.43,,,,,
7/15/25,,2383,4.09,4.27,4.37,,,,,
7/15/25,,2022,3.9,4.15,4.1,4,,,,
7/15/25,,SALE_CC,5.82,6.01,6.27,,,,,
7/15/25,,2019,3.51,4.03,4.41,4.37,4.63,,,
7/15/25,,2021,2.92,3.04,3.23,,,,,
7/15/25,,2360,3.95,4.1,3.9,,,,,
7/16/25,,121-2,2.61,2.47,2.17,,,,,the measured leaf was 2.61
7/16/25,,67,3.75,3.25,3.9,,,,,
7/16/25,,122,3.85,4.37,4.02,3.93,,,,
7/16/25,,134,2.3,2.35,2.53,2.54,2.6,,,
7/16/25,,77,1.8,1.95,1.9,1.25,,,,
7/16/25,,101,2.28,2.3,1.89,1.87,2.08,2.1,2.1,
7/16/25,,65,2.8,2.7,3.3,2.55,2.65,,,
7/16/25,,136,4.24,4.2,4.4,4.28,4.48,,,
7/16/25,,68,2,2.05,2.01,2.64,2.6,,,
7/16/25,,109,2.23,2.03,2.27,2.23,,,,
7/16/25,,121-1,2.35,2.6,2.6,,,,,the measured leaf was 2.6
7/16/25,,121-3,2.83,2.8,2.5,,,,,the measured leaf was 2.83
7/16/25,,121,2.1,2.2,2.3,2.15,2.25,2.3,,
