"Date","Run","LeafID","Tcrit","StdErr","T50","xlow","xhigh","maxthreshold"
"20250917","1","Area.1","43.691","2.171","49.71","31","85","0.9"
"20250917","1","Area.2","54.762","2.629","57.312","31","85","0.9"
"20250917","1","Area.3","49.211","0.201","51.036","31","85","0.9"
"20250917","1","Area.4","49.308","0.186","51.036","31","85","0.9"
"20250917","1","Area.5","56.076","2.101","57.312","31","85","0.9"
"20250917","1","Area.6","47.906","0.338","51.036","31","85","0.9"
"20250917","1","Area.7","50.343","0.267","52.254","31","85","0.9"
"20250917","1","Area.8","50.777","0.222","52.254","31","85","0.9"
"20250917","1","Area.9","45.63","2.003","56.076","31","85","0.9"
"20250917","1","Area.10","45.802","2.224","57.312","31","85","0.9"
"20250917","1","Area.11","59.771","0.233","53.558","31","85","0.9"
"20250917","1","Area.12","43.881","2.362","56.076","31","85","0.9"
"20250917","1","Area.13","49.283","0.207","51.036","31","85","0.9"
"20250917","1","Area.14","45.399","0.382","48.51","31","85","0.9"
"20250917","1","Area.15","48.297","0.213","49.71","31","85","0.9"
"20250917","1","Area.16","48.436","0.331","51.036","31","85","0.9"
"20250917","1","Area.17","44.943","1.929","51.036","31","85","0.9"
"20250917","1","Area.18","45.2","1.457","56.076","31","85","0.9"
"20250917","1","Area.19","57.312","0.686","51.036","31","85","0.9"
"20250917","1","Area.20","52.282","4.459","49.71","31","85","0.9"
"20250917","1","Area.21","46.724","0.205","49.71","31","85","0.9"
"20250917","1","Area.22","54.762","3.189","51.036","31","85","0.9"
"20250917","1","Area.23","54.762","2.234","59.832","31","85","0.9"
"20250917","1","Area.24","48.858","0.319","51.036","31","85","0.9"
"20250917","1","Area.25","54.113","2.164","56.076","31","85","0.9"
"20250917","1","Area.26","53.558","1.748","56.076","31","85","0.9"
"20250917","1","Area.27","49.587","0.21","52.254","31","85","0.9"
"20250917","1","Area.28","45.187","1.485","52.254","31","85","0.9"
"20250917","1","Area.29","44.936","1.982","57.312","31","85","0.9"
"20250917","1","Area.30","45.143","1.868","52.254","31","85","0.9"
"20250917","1","Area.31","45.757","1.549","53.558","31","85","0.9"
"20250917","1","Area.32","46.965","0.447","54.762","31","85","0.9"
"20250917","1","Area.33","53.415","0.139","54.762","31","85","0.9"
"20250917","1","Area.34","47.626","1.421","54.762","31","85","0.9"
"20250917","1","Area.35","55.908","0.214","56.076","31","85","0.9"
"20250917","1","Area.36","44.342","2.171","53.558","31","85","0.9"
