FluorCam10 Kinetics Export File
-----------------------------------
[us]	[°C]	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24	Area 25	Area 26	Area 27	Area 28	Area 29	Area 30	Area 31	Area 32	Area 33	Area 34	Area 35	Area 36
50000	21.79	464.721	532.864	746.552	592.908	708.286	508.828	575.464	448.949	327.569	425.565	627.048	931.719	719.563	564.094	618.769	477.654	513.066	567.009	639.629	820.429	965.422	698.472	775.765	524.187	541.781	533.974	915.911	768.782	516.212	706.312	460.649	512.639	472.552	503.101	534.737	545.368
150000	21.79	491.033	527.896	710.522	541.94	717.85	499.798	549.432	442.074	287.391	384.135	657.119	830.176	668.402	608.58	622.287	466.376	516.785	561.863	673.795	812.301	949.543	688.589	777.101	475.26	533.993	497.372	923.569	778.664	492.896	671.777	446.657	503.346	458.972	492.734	555.817	552.988
30050000	35	461.312	461.416	592.018	488.488	676.497	435.044	498.686	395.611	314.466	413.884	508.742	725.645	558.763	510.593	512.871	454.333	438.563	539.592	576.316	745.782	779.157	600.056	664.439	475.636	459.46	487.526	796.335	694.533	469.984	647.293	457.231	460.375	457.479	456.503	475.89	539.94
30150000	35	457.442	465.295	609.995	448.665	688.427	430.338	503.428	413.872	344.492	448.391	553.433	754.306	586.445	491.533	530.218	449.555	407.264	468.556	548.712	730.867	804.512	618.035	668.19	449.352	469.143	463.38	759.574	705.041	514.962	679.954	452.556	415.322	412.821	410.378	441.331	527.808
60050000	34.98	403.386	442.389	604.73	495.662	687.671	417.66	472.157	325.168	345.567	446.207	550.872	694.229	563.71	514.508	527.167	463.589	435.876	528.39	547.053	685.229	749.855	641.659	599.434	424.035	467.103	489.422	749.175	640.334	462.309	654.357	487.703	444.272	395.75	469.457	457.847	543.296
60150000	34.99	395.899	481.408	605.92	447.298	687.81	394.686	456.983	325.682	353.451	427.13	527.563	696.821	545.65	494.637	473.375	470.224	440.121	525.09	529.173	698.655	773.599	584.632	641.055	423.028	482.793	482.914	724.571	656.32	451.319	557.652	452.131	427.994	383.54	415.201	423.556	529.826
90050000	34.97	436.589	443.998	581.72	442.197	665.948	461.966	458.265	393.67	333.239	424.129	536.957	682.4	577.905	478.33	474.593	446.049	437.123	502.404	540.383	679.193	691.407	632.688	606.715	407.82	517.365	459.858	753.385	645.965	488.977	576.245	450.272	398.835	388.303	456.286	456.531	512.039
90150000	34.97	383.372	431.446	619.378	463.396	634.591	424.756	477.661	397.088	325.421	424.801	556.663	669.398	566.243	508.523	487.42	410.016	426.297	520.365	532.538	679.934	750.882	594.331	586.315	405.352	486.606	428.212	764.585	613.058	461.23	572.58	463.673	443.285	415.253	435.886	439.614	507.878
120050000	35.02	422.395	463.271	581.694	477.454	681.771	476.904	460.346	379.193	331.911	446.072	566.13	676.058	562.421	473.843	489.927	428.213	429.408	504.739	531.817	668.537	707.569	634.037	566.777	393.073	443.416	449.04	766.849	648.521	453.406	572.766	447.717	427.448	384.86	445.81	450.766	495.985
120150000	35.02	372.971	452.568	657.578	461.466	654.631	425.268	437.998	335.509	328.377	404.879	498.949	664.153	564.621	460.397	469.906	467.565	426.41	488.632	548.4	699.962	715.983	561.717	590.489	449.012	456.157	438.662	726.524	584.303	442.724	541.01	456.283	447.066	379.364	446.736	483.805	533.979
150050000	35.48	379.516	438.656	595.229	440.702	699.195	478.988	450.378	416.406	350.271	440.895	536.846	658.536	523.224	465.626	464.338	460.047	473.486	501.003	561.193	689.649	708.308	632.074	564.973	409.059	472.12	451.51	690.459	638.623	451.138	596.212	452.32	453.257	408.319	428.684	486.093	535.29
150150000	35.48	423.562	437.618	582.558	471.155	664.804	450.68	491.268	363.849	342.075	442.279	534.676	688.929	595.634	495.784	469.458	484.787	421.982	529.689	541.917	674.891	738.13	600.206	609.529	410.27	470.795	423.646	744.637	613.345	459.87	571.808	431.363	414.946	396.795	440.937	463.792	533.991
180050000	35.97	415.746	459.475	599.504	450.929	665.423	467.326	500.371	390.943	371.615	438.355	529.578	623.457	565.467	492.174	527.092	468.142	419.686	519.745	548.727	666.976	721.872	609.314	628.061	440.752	494.992	423.018	714.263	635.443	471.025	637.71	464.293	423.172	375.271	424.589	488.375	493.345
180150000	35.97	418.638	437.102	573.643	436.179	665.676	419.936	411.769	384.668	318.3	434.967	565.308	660.14	547.847	432.327	521.107	485.004	447.013	501.3	533.36	683.41	683.289	597.749	588.502	429.475	493.549	439.419	756.489	597.219	452.5	600.71	468.941	426.639	424.648	422.69	477.531	534.928
210050000	36.47	396.911	420.63	611.451	477.026	672.326	430.666	478.627	352.352	321.178	452.433	512.05	681.248	594.763	485.256	492.492	472.187	439.556	535.691	567.833	700.985	703.074	596.059	592.508	429.44	502.109	440.155	759.289	593.334	481.512	588.543	411.338	441.597	404.209	416.608	487.017	571.079
210150000	36.47	401.266	405.221	595.046	487.185	621.009	404.624	466.383	373.764	334.684	420.695	540.632	642.289	538.684	487.722	507.084	444.447	407.908	484.036	544.041	718.976	727.753	599.014	612.698	397.454	473.288	455.435	761.381	631.027	490.893	558.99	462.034	405.429	361.976	422.954	487.23	528.603
240050000	37.01	383.694	453.095	624.078	491.129	690.533	450.666	446.464	341.298	319.755	428.159	553.736	651.673	570.004	452.414	492.405	473.64	475.855	510.96	528.662	691.145	727.986	612.864	579.17	424.879	460.338	436.026	734.755	642.636	464.395	654.157	498.642	440.908	435.053	437.399	497.888	568.296
240150000	37.01	402.019	434.416	619.677	449.872	710.671	481.104	466.039	353.963	343.287	407.033	549.809	697.762	578.275	503.131	481.715	434.88	412.202	524.703	518.267	697.639	708.72	594.966	602.42	418.163	476.236	455.283	732.125	676.304	497.064	591.473	436.798	432.176	388.053	452.41	508.28	576.687
270050000	37.48	418.705	452.2	604.688	488.032	672.546	438.688	470.295	320.881	339.547	438.568	553.147	676.678	574.789	490.652	499.131	457.715	444.466	486.525	562.278	703.108	713.59	659.251	612.256	428.624	514.766	480.07	784.527	676.732	495.74	633.159	460.376	428.684	411.512	444.856	483.508	591.83
270150000	37.48	415.136	468.026	597.854	504.024	706.929	427.766	454.604	328.662	310.905	418.666	530.46	698.186	540.843	507.888	471.811	482.864	439.099	503.323	564.517	714.96	681.912	577.784	600.114	400.91	470.054	476.752	750.678	628.076	475.709	597.521	426.061	433.796	387.712	410.832	499.305	555.069
300050000	37.99	419.767	455.306	599.184	445.145	684.379	452.746	441.423	371.301	358.565	425.137	517.393	661.247	561.297	529.544	530.047	478.039	439.291	505.582	603.229	711.218	677.668	600.434	630.588	410.191	494.86	476.147	771.734	687.104	474.505	626.673	461.603	446.092	401.971	464.063	482.707	542.509
300150000	37.99	407.124	447.109	613.526	477.25	681.576	443.128	444.477	379.622	318.512	476.182	514.855	672.803	572.822	495.771	536.381	441.478	425.697	528.321	556.544	734.376	715.531	668.789	627.495	395.281	488.599	470.084	762.086	641.502	464.033	619.596	434.519	431.066	427.328	399.625	463.498	574.241
330050000	38.48	419.628	461.857	596.717	456.662	714.274	457.616	433.877	368.909	332.632	447.229	562.157	683.5	592.409	485.449	525.488	479.551	441.452	533.174	543.551	695.295	713.375	605.157	626.569	446.175	487.907	461.882	798.721	641.465	493.357	613.463	443.013	448.901	399.628	459.516	453.797	567.828
330150000	38.48	448.38	457.159	599.754	455.73	679.792	427.698	470.283	345.165	326.559	454.857	565.872	699.559	593.454	495.347	476.78	462.612	473.861	518.158	590.03	706.493	737.931	623.309	618.527	425.872	502.114	482.458	790.761	679.208	503.113	601.806	427.199	441.382	426.905	456.283	512.203	557.564
360050000	38.98	431.767	492.209	651.141	497.872	720.454	410.146	456.622	402.662	364.844	394.813	580.35	695.734	584.249	477.236	472.527	446.126	441.595	531.84	574.185	709.714	755.789	662.498	612.977	392.435	507.443	510.584	803.755	654.491	463.688	630.021	423.107	463.522	418.224	412.449	472.475	571.842
360150000	38.98	421.746	449.111	642.205	471.085	694.311	425.22	434.776	357.534	334.125	397.322	581.27	693.16	552.236	493.717	512.904	447.957	431.042	506.725	541.013	709.615	695.363	579.715	613.322	433.83	478.623	497.853	770.109	666.369	454.079	598.756	453.281	438.157	442.795	442.462	498.024	518.122
390050000	39.5	416.12	439.269	637.274	501.044	702.131	435.064	447.816	353.068	338.02	397.717	552.732	718.926	578.452	512.864	517.4	492.933	411.728	512.376	566.01	760.201	707.152	604.83	619.762	457.579	471.69	475.38	782.156	669.976	492.622	658.28	438.998	479.64	401.81	456.991	529.588	572.675
390150000	39.5	438.806	451.87	619.848	494.48	698.208	475.896	420.946	425.054	315.798	393.298	555.828	678.242	513.878	511.886	542.599	458.913	440.6	503.761	577.713	726.422	722.147	656.576	603.95	381.492	493.577	443.557	773.304	666.465	495.783	620.529	478.896	442.904	417.966	477.437	466.876	577.359
420050000	40.04	427.595	454.537	649.955	495.355	715.067	436.974	492.3	355.713	329.842	424.655	586.96	738.308	550.368	494.739	510.24	440.258	449.492	531.696	558.323	754.506	744.68	663.802	618.407	406.187	531.722	492.537	754.118	663.634	527.678	619.434	464.284	479.601	431.312	451.778	490.853	602.735
420150000	40.04	412.382	463.639	659.266	500.485	719.308	438.5	451.371	347.622	340.034	443.254	586.081	712.827	592.634	500.824	498.302	451.096	463.672	504.458	613.551	741.904	737.54	626.018	623.24	468.196	501.626	515.534	792.568	671.268	488.319	656.66	441.757	452.652	377.062	459.078	469.732	573.005
450050000	40.5	428.471	497.016	638.818	538.058	683.488	452.322	449.334	385.659	343.737	443.342	582.065	707.564	609.032	519.958	487.002	467.817	491.449	541.079	575.399	753.413	716.728	650.47	623.937	429.955	492.677	524.684	787.208	689.11	492.988	613.745	425.639	466.249	398.898	447.084	514.542	561.471
450150000	40.5	457.531	488.762	606.106	483.153	692.18	420.62	456.248	367.284	332.091	404.89	563.72	699.729	597.583	530.618	555.169	475.177	448.338	504.658	544.461	737.493	686.571	642.342	617.391	387.478	461.096	496.974	747.742	646.434	482.253	610.157	445.683	473.361	394.966	439.434	465.124	544.811
480050000	41.01	440.599	485.423	629.869	474.738	716.72	404.512	446.209	377.403	295.65	451.396	610.969	747.803	579.254	508.554	502.144	493.591	424.761	526.966	582.532	746.432	772.666	659.314	670.78	418.924	473.406	519.992	799.005	643.431	524.669	631.8	478.691	450.624	443.55	459.937	524.541	565.548
