FluorCam10 Kinetics Export File
-----------------------------------
[us]	[°C]	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24	Area 25	Area 26	Area 27	Area 28	Area 29	Area 30	Area 31	Area 32	Area 33	Area 34	Area 35	Area 36	Area 37	Area 38
50000	34.97	862.851	802.085	870.333	812.499	936.51	799.56	809.622	755.177	855.891	845.773	988.502	1083.803	1044.564	906.764	907.979	798.118	809.376	819.062	864.475	979.311	950.574	865.294	858.213	788.111	777.907	941.934	892.29	972.152	1001.08	942.301	905.615	824.267	735.98	775.712	868.445	888.657	855.755	850.69
150000	34.97	599.218	561.214	604.576	547.921	689.303	625.168	506.835	404.986	642.656	645.941	763.124	885.59	869.268	664.551	626.396	452.37	513.679	537	669.415	845.905	728.447	672.377	592.028	483.898	531.689	755.628	701.06	769.782	828.622	738.838	615.374	478.14	408.138	464.169	655.679	672.572	631.849	576.92
30050000	34.97	540.05	626.174	578.433	509.321	637.629	554.507	498.471	450.237	606.644	611.087	715.925	966.893	778.644	642.385	624.126	468.252	518.283	517.469	645.697	802.818	663.567	651.501	602.69	474.381	473.579	694.886	644.191	723.516	804.952	696.229	610.514	497.562	391.997	424.931	565.431	586.804	569.508	553.699
30150000	34.97	591.443	619.841	607.838	515.723	638.556	581.777	461.1	430.681	545.206	597.824	751.635	994.527	808.177	624.94	636.94	530.562	513.502	511.837	614.202	763.062	693.64	649.157	598.402	473.615	466.734	753.61	644.431	763.235	808.671	690.661	585.97	508.855	396.34	454.304	541.25	636.287	590.918	520.35
60050000	34.98	498.628	575.163	516.26	484.165	574.653	505.905	474.998	432.076	504.932	598.245	684.978	854.293	707.928	546.911	579.945	424.651	421.248	472.936	615.395	734.233	669.124	643.977	581.968	469.31	500.787	691.986	646.465	765.268	738.274	669.735	596.648	474.14	408.7	414.246	554.166	495.308	538.963	524.779
60150000	34.99	492.505	540.209	551.382	521.534	590.303	506.885	468.73	417.371	513.403	549.391	705.795	888.167	739.79	605.402	595.245	460.505	457.212	452.967	629.707	711.17	614.667	615.625	574.144	485.849	438.776	678.017	639.956	721.892	778.897	651.733	553.706	512.658	375.288	422.976	523.653	543.037	570.938	500.846
90050000	35	512.339	553.763	509.827	491.405	596.126	508.604	470.498	432.15	472.574	529.984	702.76	890.194	687.364	537.938	571.326	422.481	402.871	475.079	606.519	724.59	639.992	571.962	542.452	473.556	477.203	660.539	606.837	712.686	733.272	633.392	586.283	484	383.026	440.698	565.053	553.961	566.935	492.345
90150000	35	461.585	535.028	530.513	525.57	586.4	510.803	427.77	433.218	510.862	557.515	629.962	872.677	724.256	527.975	576.257	484.349	429.61	469.432	589.041	768.516	645.766	615.239	547.88	405.931	459.661	652.192	614.92	735.539	762.759	658.219	592.52	454.44	435.735	463.788	559.675	546.612	591.133	489.381
120050000	35	477.344	496.51	544.538	473.883	594.413	527.48	470.663	434.937	462.3	569.464	698.855	884.238	682.268	530.366	568.136	435.786	393.74	483.967	653.967	693.2	657.87	643.031	576.493	449.913	459.129	693.8	630.598	715.692	737.842	721.52	544.87	501.896	396.983	470.757	552.131	550.851	577.404	501.341
120150000	35	441.431	560.19	543.096	449.293	603.648	509.212	411.462	457.327	483.718	513.41	678.069	852.571	663.319	561.207	580.113	405.276	405.431	463.24	566.864	693.451	640.358	578.929	548.844	445.343	481.318	606.442	631.441	699.526	774.996	708.204	547.648	501.925	391.536	415.947	562.502	486.085	595.766	476.376
