Photo Number:,Tree Number:,Azimuth:,Pitch:,Angle of Photo Taken:,Leaf Number:,Angle Related to Straight Line:,Z-Axis Angle:,Notes:
5782,2345,203.7,-3.1,0,1,17.205,15,
5782,2345,203.7,-3.1,0,2,35.129,20,
5782,2345,203.7,-3.1,0,3,44.014,30,
5782,2345,203.7,-3.1,0,4,46.979,80,
5782,2345,203.7,-3.1,0,5,52.772,80,
5782,2345,203.7,-3.1,0,6,36.357,85,
5782,2345,203.7,-3.1,0,7,37.838,90,
5782,2345,203.7,-3.1,0,8,71.738,85,
5782,2345,203.7,-3.1,0,9,0,0,Incorrect data (null)
5782,2345,203.7,-3.1,0,10,63.769,90,
5782,2345,203.7,-3.1,0,11,37.905,45,
5786,2345,195.6,2.3,-1.2,1,1.247,80,
5786,2345,195.6,2.3,-1.2,2,70.484,90,
5786,2345,195.6,2.3,-1.2,3,10.619,80,
5786,2345,195.6,2.3,-1.2,4,28.84,85,
5786,2345,195.6,2.3,-1.2,5,23.082,90,
5786,2345,195.6,2.3,-1.2,6,49.064,90,
5786,2345,195.6,2.3,-1.2,7,60.038,90,
5786,2345,195.6,2.3,-1.2,8,59.976,85,
5786,2345,195.6,2.3,-1.2,9,62.284,85,
5786,2345,195.6,2.3,-1.2,10,66.738,90,
5793,2331,51.5,2.3,0,1,27.208,85,
5793,2331,51.5,2.3,0,2,17.201,80,
5793,2331,51.5,2.3,0,3,10.785,45,
5793,2331,51.5,2.3,0,4,137.38,60,
5793,2331,51.5,2.3,0,5,45.593,70,
5793,2331,51.5,2.3,0,6,62.868,45,
5793,2331,51.5,2.3,0,7,64.461,65,
5793,2331,51.5,2.3,0,8,37.433,75,
5793,2331,51.5,2.3,0,9,141.55,10,
5793,2331,51.5,2.3,0,10,49.848,30,
5794,2331,323,-6,-0.7,1,127.83,75,
5794,2331,323,-6,-0.7,2,28.436,55,
5794,2331,323,-6,-0.7,3,12.489,45,
5794,2331,323,-6,-0.7,4,16.482,80,
5794,2331,323,-6,-0.7,5,3.12,80,
5794,2331,323,-6,-0.7,6,57.865,45,
5794,2331,323,-6,-0.7,7,175.64,85,
5794,2331,323,-6,-0.7,8,123.79,75,
5794,2331,323,-6,-0.7,9,98.16,50,
5794,2331,323,-6,-0.7,10,143.29,85,
5801,2301,308.1,-9.5,0,1,46.265,55,
5801,2301,308.1,-9.5,0,2,1.909,90,
5801,2301,308.1,-9.5,0,3,76.504,80,
5801,2301,308.1,-9.5,0,4,106.06,5,
5801,2301,308.1,-9.5,0,5,157.62,90,
5801,2301,308.1,-9.5,0,6,39.742,70,
5801,2301,308.1,-9.5,0,7,115.75,45,
5801,2301,308.1,-9.5,0,8,21.178,90,
5801,2301,308.1,-9.5,0,9,3.663,90,
5801,2301,308.1,-9.5,0,10,8.198,45,
5809,2301,42.6,-10,-0.7,1,116.98,90,
5809,2301,42.6,-10,-0.7,2,14.647,90,
5809,2301,42.6,-10,-0.7,3,27.16,5,
5809,2301,42.6,-10,-0.7,4,166.69,40,
5809,2301,42.6,-10,-0.7,5,130.21,60,
5809,2301,42.6,-10,-0.7,6,113.82,30,
5809,2301,42.6,-10,-0.7,7,178.1,70,
5809,2301,42.6,-10,-0.7,8,153.62,90,
5809,2301,42.6,-10,-0.7,9,29.552,90,
5809,2301,42.6,-10,-0.7,10,114.63,65,
5812,2376,347.7,-5.5,-1.3,1,125,65,
5812,2376,347.7,-5.5,-1.3,2,128.24,90,
5812,2376,347.7,-5.5,-1.3,3,175.37,60,
5812,2376,347.7,-5.5,-1.3,4,121.87,70,
5812,2376,347.7,-5.5,-1.3,5,93.987,45,
5812,2376,347.7,-5.5,-1.3,6,40.636,20,
5812,2376,347.7,-5.5,-1.3,7,56.237,5,
5812,2376,347.7,-5.5,-1.3,8,78.009,10,
5812,2376,347.7,-5.5,-1.3,9,157.13,25,
5812,2376,347.7,-5.5,-1.3,10,130.8,45,
5819,2376,80.8,-8.8,-0.8,1,53.034,45,
5819,2376,80.8,-8.8,-0.8,2,78.517,5,
5819,2376,80.8,-8.8,-0.8,3,44.762,85,
5819,2376,80.8,-8.8,-0.8,4,88.049,85,
5819,2376,80.8,-8.8,-0.8,5,32.502,10,
5819,2376,80.8,-8.8,-0.8,6,4.718,60,
5819,2376,80.8,-8.8,-0.8,7,125.24,5,
5819,2376,80.8,-8.8,-0.8,8,152.34,10,
5819,2376,80.8,-8.8,-0.8,9,143.97,45,
5819,2376,80.8,-8.8,-0.8,10,15.454,45,
5823,2011,33.3,3.4,0,1,27.017,5,
5823,2011,33.3,3.4,0,2,59.625,85,
5823,2011,33.3,3.4,0,3,58.511,90,
5823,2011,33.3,3.4,0,4,52.6,90,
5823,2011,33.3,3.4,0,5,61.311,90,
5823,2011,33.3,3.4,0,6,18.188,75,
5823,2011,33.3,3.4,0,7,83.013,90,
5823,2011,33.3,3.4,0,8,13.121,10,
5823,2011,33.3,3.4,0,9,18.915,85,
5823,2011,33.3,3.4,0,10,67.807,80,
5827,2011,107.2,4,0,1,41.164,90,
5827,2011,107.2,4,0,2,92.454,85,
5827,2011,107.2,4,0,3,12.15,80,
5827,2011,107.2,4,0,4,8.644,80,
5827,2011,107.2,4,0,5,120.6,90,
5827,2011,107.2,4,0,6,61.284,90,
5827,2011,107.2,4,0,7,137.72,90,
5827,2011,107.2,4,0,8,50.495,85,
5827,2011,107.2,4,0,9,103.97,85,
5827,2011,107.2,4,0,10,29.137,90,
5835,2384,296.5,5,0,1,41.818,0,
5835,2384,296.5,5,0,2,153.699,45,
5835,2384,296.5,5,0,3,15.992,50,
5835,2384,296.5,5,0,4,21.913,5,
5835,2384,296.5,5,0,5,29.144,45,
5835,2384,296.5,5,0,6,23.712,55,
5835,2384,296.5,5,0,7,78.261,60,
5835,2384,296.5,5,0,8,75.244,80,
5835,2384,296.5,5,0,9,9.937,10,
5835,2384,296.5,5,0,10,61.049,85,
5845,2384,72.6,0.6,0,1,8.69,10,
,,,,,2,69.125,5,
,,,,,3,163.648,10,
,,,,,4,117.244,20,
,,,,,5,48.109,10,
,,,,,6,20.749,25,
,,,,,7,22.231,50,
,,,,,8,67.274,15,
,,,,,9,102.51,70,
,,,,,10,27.459,45,
5849,2381,70.5,7.2,0.7,1,132.85,90,
,,,,,2,91.643,90,
,,,,,3,98.557,10,
,,,,,4,52.001,40,
,,,,,5,7.065,45,
,,,,,6,38.367,60,
,,,,,7,149.773,15,
,,,,,8,1.256,45,
