individual_id,plot_treatment_id,individual_treatment_id,genus,species_epithet,dbh,tree_height_m
1478,No treatment,No treatment,Quercus,douglasii,64.3,NA
2004,No treatment,No treatment,Quercus,douglasii,29.1,NA
2005,No treatment,No treatment,Quercus,douglasii,37.7,NA
2006,No treatment,No treatment,Quercus,douglasii,24.7,NA
2007,No treatment,No treatment,Quercus,douglasii,79.7,NA
2008,No treatment,No treatment,Quercus,douglasii,52.1,NA
2009,No treatment,No treatment,Quercus,douglasii,48.8,NA
2010,No treatment,No treatment,Quercus,douglasii,70.2,NA
2011,No treatment,No treatment,Quercus,douglasii,63.7,NA
2012,No treatment,No treatment,Quercus,douglasii,52.6,NA
2013,No treatment,No treatment,Quercus,douglasii,NA,NA
2014,No treatment,No treatment,Quercus,douglasii,NA,NA
2016,No treatment,No treatment,Quercus,douglasii,96.7,NA
2020,No treatment,No treatment,Quercus,douglasii,68.6,NA
2021,No treatment,No treatment,Quercus,douglasii,58.2,NA
2022,No treatment,No treatment,Quercus,agrifolia,66.6,NA
2023,No treatment,No treatment,Quercus,agrifolia,77,NA
2024,No treatment,No treatment,Quercus,douglasii,61.4,NA
2025,No treatment,No treatment,Quercus,douglasii,50,NA
2026,No treatment,No treatment,Quercus,douglasii,83.5,NA
2027,No treatment,No treatment,Quercus,douglasii,73.5,NA
2028,No treatment,No treatment,Quercus,douglasii,66.1,NA
2029,No treatment,No treatment,Quercus,agrifolia,111.6,NA
2030,No treatment,No treatment,Quercus,agrifolia,49.5,NA
2031,No treatment,No treatment,Quercus,douglasii,104.65,NA
2040,No treatment,No treatment,Quercus,douglasii,NA,NA
2041,No treatment,No treatment,Quercus,douglasii,NA,NA
2042,No treatment,No treatment,Quercus,douglasii,NA,NA
2043,No treatment,No treatment,Quercus,douglasii,NA,NA
2044,No treatment,No treatment,Quercus,douglasii,NA,NA
2045,No treatment,No treatment,Quercus,douglasii,NA,NA
2046,No treatment,No treatment,Quercus,douglasii,NA,NA
2047,No treatment,No treatment,Quercus,douglasii,NA,NA
2048,No treatment,No treatment,Quercus,douglasii,NA,NA
2049,No treatment,No treatment,Quercus,douglasii,NA,NA
2050,No treatment,No treatment,Quercus,douglasii,NA,NA
2051,No treatment,No treatment,Quercus,douglasii,NA,NA
2052,No treatment,No treatment,Quercus,douglasii,NA,NA
2053,No treatment,No treatment,Quercus,douglasii,NA,NA
2085,No treatment,No treatment,Quercus,douglasii,86.3,NA
2086,No treatment,No treatment,Quercus,douglasii,62.4,NA
2087,No treatment,No treatment,Quercus,douglasii,73.2,NA
2088,No treatment,No treatment,Quercus,douglasii,67,NA
2089,No treatment,No treatment,Quercus,agrifolia,167,NA
2090,No treatment,No treatment,Quercus,douglasii,86.5,NA
2091,No treatment,No treatment,Quercus,agrifolia,120.1,NA
2092,No treatment,No treatment,Quercus,agrifolia,146,NA
2093,No treatment,No treatment,Quercus,agrifolia,99.7,NA
