individual_id,plot_treatment_id,individual_treatment_id,genus,species_epithet,dbh,tree_height_m,springlai,springstdev
1478,No treatment,No treatment,Quercus,douglasii,64.3,NA,2.608603664,NA
2004,No treatment,No treatment,Quercus,douglasii,29.1,NA,4.190652686,NA
2005,No treatment,No treatment,Quercus,douglasii,37.7,NA,1.743187468,NA
2006,No treatment,No treatment,Quercus,douglasii,24.7,NA,3.643601618,NA
2007,No treatment,No treatment,Quercus,douglasii,79.7,NA,2.869366814,NA
2008,No treatment,No treatment,Quercus,douglasii,52.1,NA,2.106352433,NA
2009,No treatment,No treatment,Quercus,douglasii,48.8,NA,2.043523285,0.238363031
2010,No treatment,No treatment,Quercus,douglasii,70.2,NA,2.160710445,0.199198269
2011,No treatment,No treatment,Quercus,douglasii,63.7,NA,2.557769501,0.357824932
2012,No treatment,No treatment,Quercus,douglasii,52.6,NA,3.148490331,NA
2013,No treatment,No treatment,Quercus,douglasii,NA,NA,2.6193793420000002,NA
2014,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2016,No treatment,No treatment,Quercus,douglasii,96.7,NA,NA,NA
2020,No treatment,No treatment,Quercus,douglasii,68.6,NA,2.591573931,0.081342651
2021,No treatment,No treatment,Quercus,douglasii,58.2,NA,3.65088249,0.154186513
2022,No treatment,No treatment,Quercus,agrifolia,66.6,NA,2.797551148,0.254980308
2023,No treatment,No treatment,Quercus,agrifolia,77,NA,3.120137641,0.120125179
2024,No treatment,No treatment,Quercus,douglasii,61.4,NA,2.530519016,0.60757623
2025,No treatment,No treatment,Quercus,douglasii,50,NA,2.289450681,0.303359228
2026,No treatment,No treatment,Quercus,douglasii,83.5,NA,2.552563678,0.255102855
2027,No treatment,No treatment,Quercus,douglasii,73.5,NA,2.668087544,0.369796086
2028,No treatment,No treatment,Quercus,douglasii,66.1,NA,NA,NA
2029,No treatment,No treatment,Quercus,agrifolia,111.6,NA,NA,NA
2030,No treatment,No treatment,Quercus,agrifolia,49.5,NA,NA,NA
2031,No treatment,No treatment,Quercus,douglasii,104.65,NA,NA,NA
2040,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2041,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2042,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2043,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2044,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2045,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2046,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2047,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2048,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2049,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2050,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2051,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2052,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2053,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2085,No treatment,No treatment,Quercus,douglasii,86.3,NA,2.493992446,NA
2086,No treatment,No treatment,Quercus,douglasii,62.4,NA,2.083968165,0.229986341
2087,No treatment,No treatment,Quercus,douglasii,73.2,NA,2.412799834,0.16101503
2088,No treatment,No treatment,Quercus,douglasii,67,NA,2.260303399,0.081141421
2089,No treatment,No treatment,Quercus,agrifolia,167,NA,3.808468858,0.201692111
2090,No treatment,No treatment,Quercus,douglasii,86.5,NA,2.449484374,0.500337597
2091,No treatment,No treatment,Quercus,agrifolia,120.1,NA,3.900265562,0.372729722
2092,No treatment,No treatment,Quercus,agrifolia,146,NA,2.558549825,0.341100291
2093,No treatment,No treatment,Quercus,agrifolia,99.7,NA,3.478755336,0.703976696
2301,No treatment,No treatment,Quercus,agrifolia,48.75,14.621,2.925588113,0.22400915
2305,No treatment,No treatment,Quercus,douglasii,34.8,14.07,1.478046565,0.181913119
2306,No treatment,No treatment,Quercus,douglasii,33.8,14.06,1.827649969,0.223079695
2308,No treatment,No treatment,Quercus,douglasii,25.8,6.62,NA,NA
