FluorCam10 Kinetics Export File
-----------------------------------
[us]	[°C]	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24	Area 25	Area 26	Area 27	Area 28	Area 29	Area 30	Area 31	Area 32	Area 33	Area 34	Area 35	Area 36	Area 37	Area 38	Area 39	Area 40	Area 41	Area 42	Area 43	Area 44
50000	34.98	793.975	814.55	838.99	868.672	866.901	894.302	814.778	773.564	789.524	865.042	1097.052	849.002	892.086	940.575	1000.327	798.376	792.072	769.726	892.589	889.864	1247.052	1037.084	765.431	741.569	751.216	829.21	921.329	1082.039	972.951	886.924	814.086	797.443	750.919	907.456	768.809	773.536	773.568	777.084	763.52	735.79	807.314	771.715	821.232	757.434
150000	34.98	573.475	541.811	559.751	731.174	678.479	744.396	563.197	562.831	541.776	716.312	1014.411	637.296	675.556	744.763	836.449	616.346	553.483	560.398	783.964	732.235	1092.364	814.277	568.986	393.523	487.603	534.024	757.516	941.954	798.478	726.57	631.753	521.983	483.095	722.553	545.195	541.214	560.158	463.583	529.854	456.457	567.607	542.039	542.244	476.763
30050000	34.98	488.83	432.384	493.337	641.777	487.386	587.87	464.389	448.748	506.413	605.489	791.653	577.759	606.219	607.509	686.546	499.142	443.603	552.233	666.036	684.075	834.666	675.369	499.633	374.509	473.156	519.646	608.829	793.941	634.173	576.15	534.143	482.97	480.133	610.723	544.476	594.877	495.377	456.429	453.8	411.406	435.96	478.187	501.072	460.863
30150000	34.98	515.111	424.668	521.667	626.803	504.924	620.118	508.192	436.609	500.052	529.638	799.351	580.915	591.131	606.436	678.991	542.1	463.965	521.456	667.172	646.591	872.244	710.075	524.718	465.205	483.638	507.381	625.996	803.84	650.815	573.542	565.264	493.474	525.679	643.894	561.951	563.699	476.52	439.492	464.499	397.311	492.752	482.779	493.998	488.854
60050000	34.98	452.887	438.605	467.479	613.941	516.335	589.622	513.536	419.443	463.067	537.981	758.83	526.26	545.863	583.239	629.21	447.282	425.474	525.846	621.75	638.589	789.082	664.497	469.672	394.949	422.705	494.255	622.315	755.556	602.26	563.441	544.532	510.754	468.012	607.289	544.311	566.428	510.73	404.293	426.206	358.298	442.49	485.231	483.233	455.237
60150000	34.99	477.24	461.292	475.718	626.406	513.688	549.029	455.613	422.229	442.215	541.625	725.782	555.017	531.511	570.981	669.019	451.873	456.963	512.869	594.294	619.344	785.263	636.8	459.103	398.439	422.674	450.99	602.302	788.131	658.585	559.523	534.562	491.002	481.95	588.825	548.294	567.943	458.307	407.642	440.8	365.504	480.369	469.785	431.174	448.537
90050000	35.02	447.62	426.765	512.625	578.08	564.174	596.548	469.9	414.218	422.413	502.814	717.55	472.211	559.678	519.795	663.037	450.652	432.068	501.572	628.973	645.096	817.481	645.089	446.485	366.167	447.475	448.283	613.784	775.114	594.26	575.924	496.137	493.6	477.805	533.773	570.781	570.095	433.969	390.738	423.415	347.726	478.934	469.906	444.348	459.961
90150000	35.02	485.752	444.527	503.94	574.148	542.413	612.345	490.902	448.115	430.535	536.134	718.99	528.812	547.622	596.488	635.242	454.909	417.511	495.261	610.682	633.413	810.24	673.135	432.692	346.927	429.955	484.682	579.302	746.034	603.723	521.824	495.429	477.202	474.917	596.505	537.369	529.383	452.526	405.728	402.879	377.112	449.214	447.427	439.539	462.007
120050000	34.99	461.263	450.153	475.759	582.655	551.514	543.886	475.017	445.099	446.691	525.67	725.225	518.51	565.333	617.89	633.509	460.69	417.238	544.876	613.399	626.608	827.44	630.82	457.321	352.234	439.717	488.648	616.795	747.99	616.862	564.525	483.744	468.383	446.395	568.49	550.195	555.203	437.761	410.347	406.32	354.034	437.132	445.692	473.201	499.332
120150000	34.99	417.218	431.336	454.243	590.089	540.961	575.548	462.235	471.047	404.702	528.948	689.56	519.802	531.534	576.021	625.502	470.645	429.212	493.645	625.887	653.271	848.407	680.504	506.089	348.984	445.045	433.57	549.126	790.552	593.339	547.231	467.335	497.126	471.002	586.486	508.68	540.525	438.829	420.068	409.45	349.198	476.459	496.616	468.725	481.08
150050000	35.5	425.664	424.916	454	572.343	561.155	555.123	440.932	421.16	434.709	538.322	748.665	521.646	560.647	584.311	632.746	497.036	400.271	509.313	608.727	676.403	839.076	626.085	470.838	384.943	423.397	491.578	569.18	781.766	598.386	536.534	496.139	456.887	439.976	597.503	536.388	557.947	472.228	387.766	401.791	356.733	453.522	467.865	481.874	431.617
150150000	35.5	443.824	427.174	465.37	603.796	535.107	578.891	473.662	462.351	382.687	518.879	721.888	558.734	558.917	555.949	619.624	466.244	433.681	480.021	599.382	641.151	839.244	663.132	448.731	368.889	390.712	433.98	597.576	776.324	632.761	550.83	510.409	454.37	481.471	557.814	530.264	590.839	436.618	433.93	420.223	343.11	469.423	492.169	476.492	461.007
180050000	35.99	475.979	454.498	447.284	566.282	502.227	601.687	455.543	451.831	479.243	536.193	710.144	539.51	530.137	565.49	622.136	458.27	416.983	559.113	670.364	653.044	867.353	667.022	461.975	359.995	410.837	465.515	557.799	736.84	650.054	522.922	487.616	513.446	457.338	594.635	550.127	572.595	472.136	420.311	401.652	367.413	485.631	497.037	491.67	514.834
180150000	35.99	434.613	430.185	466.177	595.592	532.126	561.418	453.919	415.942	451.233	555.732	720.093	475.75	539.529	574.693	674.924	464.631	423.876	510.876	614.043	662.65	812.421	632.25	451.663	374.52	422.324	441.006	565.38	770.792	584.672	583.924	515.652	437.922	466.021	556.227	593.084	569.589	434.274	398.934	431.049	372.103	442.45	467.228	463.862	460.202
210050000	36.48	444.183	451.183	452.986	562.505	553.818	586.387	455.184	424.335	420.767	569.216	685.632	510.753	538.935	601.23	659.42	445.873	385.382	532.113	622.891	653.816	823.566	632.149	478.67	376.119	392.422	491.578	558.004	764.461	607.965	523.189	482.978	456.615	472.545	604.76	547.957	574.915	484.235	418.279	435.527	401.792	450.926	489.411	457.542	490.88
210150000	36.49	458.082	444.456	472.84	601.557	526.494	613.47	439.229	439.629	434.18	524.814	730.105	524.505	537.554	572.104	616.809	480.304	423.59	551.118	616.255	621.006	827.668	628.795	468.966	388.717	403.219	452.043	558.406	793.319	585.895	553.151	540.352	487.67	477.383	596.009	573.785	538.282	434.05	388.48	424.369	367.056	457.919	498.966	479.844	501.507
240050000	36.98	450.876	491.027	481.708	556.705	574.12	610.967	450.782	423.942	469.917	537.41	723.117	532.637	561.55	612.56	690.108	462.858	454.5	534.36	640.517	649.818	862.59	618.335	452.298	347.407	398.384	468.32	577.831	800.248	598.386	555.614	498.335	469.88	473.871	556.743	543.264	545.047	520.281	463.562	424.858	388.108	465.843	490.384	497.097	451.402
240150000	36.98	459.017	423.567	476.881	562.928	557.727	538.736	426.447	449.079	440.841	528.686	707.727	522.168	562.725	607.696	633.629	423.582	447.323	520.278	626.851	642.931	820.456	630.923	434.535	341.693	426.859	456.287	547.878	770.67	652.923	560.545	525.765	479.457	460.202	598.693	561.674	564.612	439.787	422.696	392.898	351.311	452.783	470.306	488.682	457.368
270050000	37.5	491.464	453.559	477.385	574.477	538.576	557.326	485.415	429.074	405.878	512.452	705.091	467.883	583.982	606.594	672.039	474.8	419.932	515.961	617.526	620.474	816.277	659.212	454.777	384.159	411.518	513.864	553.786	800.116	601.536	559.824	547.838	465.817	449.181	612.989	570.206	590.655	475.967	445.799	420.264	378.44	464.66	428.475	465.639	503.851
270150000	37.5	468.393	431.45	471.212	558.239	522.804	556.656	434.47	423.681	466.828	533.065	739.388	542.064	565.297	574.953	668.636	441.715	414.114	528.578	604.348	607.159	808.68	643.073	421.952	401.836	406.913	450.774	571.167	797.693	625.625	521.03	507.879	472.037	450.693	565.756	547.288	565.356	392.445	423.843	442.513	376.098	487.671	457.879	448.948	509.834
300050000	38.01	404.317	427.792	456.123	520.093	547.419	641.058	453.344	436.483	444.335	522.682	696.474	516.367	507.505	590.495	667.087	484.584	450.52	554.298	598.797	662.809	823.215	625.533	444.371	370.687	417.6	476.128	562.412	815.252	618.798	539.485	512.841	507.278	463.295	615.315	575.524	550.083	491.98	431.183	422.963	365.359	461.966	478.527	495.65	499.673
300150000	38.01	439.681	420.237	478.601	586.278	572.124	601.586	456.038	446.587	435.126	517.243	699.72	530.164	547.076	554.142	695.892	445.962	438.402	534.077	621.495	657.598	848.527	634.142	455.159	360.631	440.237	464.866	582.912	745.663	607.098	566.286	496.706	502.093	472.693	577.123	563.929	546.578	529.02	422.738	422.074	376.939	458.554	494.689	492.264	454.1
330050000	38.52	414.729	463.891	445.938	553.211	543.151	558.76	478.69	413.297	455.291	509.192	755.022	540.32	589.318	604.459	693.587	479.599	404.026	492.088	660.596	662.518	811.774	659.54	506.212	392.472	432.812	459.118	577.333	810.995	638.23	580.854	532.791	473.328	472.138	611.331	588.682	562.451	505.219	448.323	426.026	365.804	480.824	463.537	493.26	486.69
330150000	38.52	474.452	472.044	494.372	563.109	575.816	602.177	457.115	433.715	450.28	519.996	755.833	541.832	533.862	576.482	701.168	476.928	421.426	522.636	618.594	640.954	825.782	680.506	443.116	399.28	454.531	482.802	575.167	772.987	664.618	517.384	557.742	494.133	464.148	608.784	558.597	558.394	510.855	435.44	408.142	358.905	450.35	476.386	460.242	486.824
360050000	39.02	455.181	478.645	464.473	608.848	556.607	602.796	465.265	435.058	437.761	541.435	736.723	517.226	552.942	569.309	681.815	427.921	447.197	558.139	640.898	641.667	814.877	645.328	459.542	401.051	417.487	461.171	585.942	804.987	621.319	548.297	547.09	509.154	461.348	617.721	528.073	562.657	505.741	468.276	428.362	409.438	498.372	467.959	484.492	503.207
360150000	39.02	455.882	482.116	441.01	596.21	558.541	583.434	434.079	452.103	424.317	531.644	753.404	542.972	609.761	607.235	735.011	457.69	403.081	542.846	649.4	626.813	832.79	667.733	469.815	376.96	437.712	473.432	567.412	766.466	605.213	559.756	565.937	489.067	456.65	618.531	560.296	585.716	490.895	466.592	449.381	357.037	466.667	504.13	458.402	513.512
390050000	39.51	431.349	491.37	479.2	578.186	595.696	607.893	450.874	441.472	440.783	544.22	719.806	504.46	615.63	602.381	733.64	498.127	425.148	523.411	633.589	641.654	832.565	635.995	428.733	377.86	453.942	500.807	576.968	800.57	678.131	577.331	544.399	508.902	473.1	608.983	563.854	606.072	485.5	403.431	429.503	405.007	421.015	493.758	468.298	497.044
390150000	39.51	422.779	475.286	466.77	582.237	544.211	566.533	457.759	411.492	439.415	545.201	725.739	553.139	557.554	577.97	692.917	441.142	428.072	558.593	620.867	673.346	833.185	618.566	455.973	355.954	435.455	441.104	591.772	779.405	638.649	596.36	555.513	468.43	492.25	579.741	571.53	596.225	486.23	451.543	413.028	350.543	441.015	497.5	477.928	500.395
420050000	40.06	463.74	459.616	495.179	579.39	545.866	564.535	440.703	447.099	386.598	539.201	731.418	540.729	600.549	593.279	714.696	467.938	457.297	530.178	637.303	603.801	855.592	631.928	463.226	391.213	436.248	444.424	596.844	771.358	664.571	553.176	565.816	436.922	453.943	647.652	578.167	592.021	483.458	440.595	398.093	366.421	466.416	444.16	480.521	512.161
420150000	40.06	458.317	439.181	468.924	576.182	544.329	555.568	445.408	436.571	430.459	519.914	706.323	515.311	582.946	611.934	703.528	455.662	464.033	560.544	627.797	646.096	803.187	658.966	457.187	402.588	431.154	473.721	554.862	758.268	661.126	523.358	554.851	486.963	473.748	589.691	573.912	555.941	487.035	430.518	410.1	358.797	449.981	500.932	497.937	475.376
450050000	40.54	462.91	524.851	450.605	578.922	521.634	582.452	474.667	464.874	448.176	518.812	760.026	539.207	596.09	597.361	715.595	500.459	462.498	555.188	626.978	630.04	860.464	654.138	471.043	392.609	431.853	481.76	565.597	780.944	662.012	545.515	547.883	511.174	495.664	631.808	527.88	504.25	488.007	472.052	429.624	395.225	479.554	495.135	467.655	495.129
450150000	40.54	479.513	473.737	498.967	539.61	532.543	638.217	417.391	407.838	432.609	547.307	716.734	522.661	583.21	630.964	736.166	467.796	467.199	538.42	616.461	648.247	821.633	652.709	458.654	371.827	434.261	510.998	584.498	771.297	679.803	544.574	543.896	501.239	530.024	618.501	623.376	575.523	504.842	469.382	405.097	393.65	502.025	434.952	501.21	497.251
480050000	41.04	477.475	482.723	464.572	620.596	570.686	625.512	441.068	394.187	478.383	542.494	733.607	550.672	585.75	655.803	744.947	443.412	435.19	527.835	631.858	619.57	809.726	642.927	444.298	393.423	426.348	470.269	599.797	778.051	635.85	520.553	559.523	498.283	493.95	619.125	524.899	564.65	480.546	440.696	389.432	392.445	484.541	509.813	468.641	473.127
480150000	41.04	443.225	453.496	478.344	541.963	555.273	635.251	436.44	416.742	470.674	549.161	703.373	580.731	587.899	616.302	743.168	466.289	435.116	541.672	641.616	655.761	811.802	676.687	433.396	380.846	429.6	511.548	595.081	756.27	653.803	555.674	587.35	503.789	470.269	622.825	558.674	545.216	533.739	446.813	414.882	358.335	501.828	504.941	498.722	505.28
510050000	41.51	449.065	430.233	505.154	573.109	518.657	624.859	443.737	434.299	419.461	560.034	733.311	518.497	600.919	590.023	748.449	449.272	406.576	569.713	656.341	682.818	862.589	661.79	481.743	405.14	464.344	479.894	563.653	805.712	682.618	564.953	595.89	520.263	479.31	664.318	581.903	566.049	494.533	441.794	454.928	376.271	488.484	527.233	502.169	556.563
510150000	41.52	460.483	522.015	493.792	608.462	585.591	641.996	495.861	422.434	447.398	524.793	766.191	547.923	593.887	606.286	751.041	511.057	476.282	563.694	606.677	648.998	860.269	661.487	490.153	400.089	461.862	474.114	584.383	772.958	633.171	572.818	553.984	496.909	498.971	659.551	564.202	518.636	491.465	437.293	431.513	383.289	472.382	528.966	543.485	494.949
540050000	42.04	439.916	474.773	499.868	651.187	579.641	617.074	470.028	451.813	440.583	540.481	734.871	527.755	619.849	630.311	760.502	497.132	463.797	559.101	600.838	671.214	808.997	644.209	509.264	372.022	458.743	490.204	641.252	800.77	662.431	571.447	549.266	503.241	482.295	655.49	525.846	630.004	497.309	462.187	424.947	395.112	494.977	525.619	484.368	496.976
540150000	42.05	452.353	497.55	506.245	614.2	576.87	631.175	470.306	421.252	436.257	563.153	729.419	531.748	581.592	603.717	776.601	497.149	451.561	551.837	630.163	663.025	830.37	663.899	449.465	346.962	447.924	457.727	607.604	791.06	687.646	577.992	567.344	497.804	461.524	672.479	608.903	552.945	490.719	464.246	428.032	415.489	493.845	495.025	520.641	543.41
570050000	42.56	468.971	495.494	492.504	599.777	560.556	606.145	501.259	391.861	436.561	544.193	737.43	577.601	597.818	637.666	805.685	484.437	465.59	574.801	623.564	688.008	864.383	656.515	491.61	375.857	442.978	530.328	595.592	795.172	677.056	550.718	574.082	544.787	441.529	648.004	618.886	579.176	499.412	450.843	393.856	373.665	497.97	468.927	466.036	507.893
570150000	42.56	513.281	504.693	492.165	583.872	591.26	594.655	509.536	435.71	462.859	571.812	742.065	499.444	620.924	600.712	764.06	451.108	442.67	555.897	625.704	667.837	812.524	663.393	463.21	386.41	433.212	476.87	570.02	794.356	674.735	566.852	545.892	486.207	481.843	673.024	571.27	563.939	466.954	412.012	418.392	382.225	505.992	522.078	502.077	514.19
